"auto_id","quoteid","source","invoice_id","trams_remarks","total_amount","trams_received_amount","reference_no","balance_amount","payment_method","process_date","modified_date","modified_by","pay_type","added_on","added_by","cleared_date","cleared_by","is_reconciliated"
"1","2261017","initial",NULL,NULL,"41226",NULL,NULL,NULL,,NULL,NULL,,,"2024-11-08 11:15:23"," Mathew",NULL,NULL,NULL
"2","2261017",,NULL,"29/10/2024	TRAVEL CAREFREE INTERNATIONAL	32949		TDU23103",,"32949",,NULL,"12","2024-10-29 00:00:00",NULL,,"BANK TRANSFER","2024-11-08 11:29:50"," Mathew",NULL,NULL,NULL
"3","2261017",,NULL,"06/11/2024	TRAVEL CAREFREE INTERNATIONAL	17011		TDU23103",,"17011","TDU23103",NULL,"12","2024-11-17 00:00:00",NULL,,"BANK TRANSFER","2024-11-08 11:30:23"," Mathew",NULL,NULL,NULL
"4","2261017","final",NULL,NULL,"41856",NULL,NULL,NULL,,NULL,NULL,,,"2024-11-08 18:39:46","Kunal Ramchandani",NULL,NULL,NULL
"5","2259779","initial",NULL,NULL,"123519",NULL,NULL,NULL,,NULL,NULL,,,"2024-11-11 10:10:52"," Mathew",NULL,NULL,NULL
"6","2259779",,NULL,"06/11/2024	MAKEMYTRIP INDIA PRIVATE LIMITED	50000		TDU23077",,"50000","TDU23077",NULL,"12","2024-11-06 00:00:00",NULL,,"BANK TRANSFER","2024-11-11 10:11:49"," Mathew",NULL,NULL,NULL
"7","2347402","initial",NULL,NULL,"111992",NULL,NULL,NULL,,NULL,NULL,,,"2024-11-12 09:48:12"," Mathew",NULL,NULL,NULL
"8","2347402",,NULL,"11/11/2024	KESARI TOURS PVT LTD	77540		TDU23504",,"77540","TDU23504",NULL,"12","2024-11-11 00:00:00",NULL,,"BANK TRANSFER","2024-11-12 09:48:48"," Mathew",NULL,NULL,NULL
"9","2347188","initial",NULL,NULL,"30",NULL,NULL,NULL,,NULL,NULL,,,"2024-11-12 10:10:33"," Mathew",NULL,NULL,NULL
"10","2347188",,NULL,"04/10/2024	FLYREMIT PRIVATE LIMITED	24300		TDU23488",,"24300","TDU23488",NULL,"12","2024-10-04 00:00:00",NULL,,"BANK TRANSFER","2024-11-12 10:12:19"," Mathew",NULL,NULL,NULL
"11","2347188",,NULL,"8/10/2024	FLYWIRE	5921	TDU23488",,"5921","TDU23488",NULL,"12","2024-10-08 00:00:00",NULL,,"FLYWIRE","2024-11-12 10:13:12"," Mathew",NULL,NULL,NULL
"12","2347213","initial",NULL,NULL,"29873",NULL,NULL,NULL,,NULL,NULL,,,"2024-11-12 10:14:56"," Mathew",NULL,NULL,NULL
"13","2347213",,NULL,"12/09/2024	JETCHOICE TOURS AND TRAVELS PRIVATE	6500		TDU22070",,"6500","TDU22070",NULL,"12","2024-09-12 00:00:00",NULL,,"BANK TRANSFER","2024-11-12 10:15:39"," Mathew",NULL,NULL,NULL
