quoteid,quote_no,stage,created_at,trip,country,pax,owner
2353578,TDU26439G,Created,2025-10-16 13:23:28,2026-09-01,Australia,14,
2353978,TDU26508G,Created,2025-11-10 10:23:43,2026-09-04,Australia,25,
2353979,TDU26509G,Created,2025-11-10 10:37:04,2026-08-28,Australia,11,
2354090,TDU26527G,Created,2025-11-17 10:52:49,2026-08-28,Australia,11,
2354238,TDU26577G,Requote,2025-11-24 07:04:22,2026-05-14,New Zealand,15,
2354583,TDU26644G,Created,2025-12-17 09:42:39,2026-08-24,Australia,20,
2355348,TDU34969,Created,2026-02-10 20:56:20,2026-08-22,New Zealand,6,
2355510,TDU26862G,Created,2026-02-24 16:30:29,2026-09-01,Australia,20,
2355630,TDU26894G,Requote,2026-03-04 02:00:29,2026-06-16,New Zealand,80,
2355651,TDU35183,Created,2026-03-05 14:15:06,2026-08-29,Australia,10,
2355652,TDU35184,Created,2026-03-05 14:28:39,2026-09-03,New Zealand,10,
2356113,TDU27018G,Created,2026-04-08 18:49:00,2026-09-08,Australia,23,
2356356,TDU27073G,Created,2026-04-27 10:57:20,2026-08-21,Australia,20,
2356704,TDU27166G,Created,2026-05-24 17:15:20,2026-09-01,Australia,20,
2356938,TDU36141,Created,2026-06-15 11:07:48,2026-08-26,Australia,6,
2356939,TDU36142,Created,2026-06-15 11:13:41,2026-08-26,Australia,6,
2356964,TDU36164,Created,2026-06-16 10:13:55,2026-08-24,Australia,2,
2356966,TDU27235G,Created,2026-06-16 11:19:28,2026-09-02,Australia,20,
2356972,TDU27240G,Created,2026-06-16 18:13:28,2026-09-09,Australia,60,ArunP
2357025,TDU27256G,Created,2026-06-19 16:30:15,2026-08-25,New Zealand,50,ArunP
2357064,TDU27265G,Created,2026-06-21 17:02:32,2026-09-04,New Zealand,22,karthik
2357075,TDU27273G,Created,2026-06-22 19:06:10,2026-08-25,Australia,40,
2357085,TDU27275G,Created,2026-06-22 22:19:04,2026-09-02,New Zealand,200,ArunP
2357095,TDU27281G,Created,2026-06-23 15:18:46,2026-09-03,Australia,14,karthik
2357098,TDU27282G,Created,2026-06-23 15:38:53,2026-08-27,Australia,100,ArunP
2357140,TDU36281,Created,2026-06-26 09:50:16,2026-08-26,New Zealand,2,
2357196,TDU27307G,Created,2026-07-01 12:53:30,2026-08-22,Australia,30,
2357228,TDU27316G,Created,2026-07-03 17:20:09,2026-09-03,New Zealand,229,ArunP
2357334,TDU36420,Created,2026-07-13 16:10:30,2026-09-02,Australia,3,HarshP
2357523,TDU27388G,Created,2026-07-25 15:02:56,2026-09-07,Australia,20,karthik
2357571,TDU36597,Created,2026-07-28 20:48:59,2026-08-23,Australia,4,HarshP
2357601,TDU27414G,Created,2026-07-30 15:40:44,2026-08-21,Australia,27,karthik
2357612,TDU27415G,Created,2026-07-30 22:07:22,2026-08-28,Australia,23,karthik
2357624,TDU36638,Created,2026-07-31 17:38:05,2026-09-02,Australia,2,hemant
2357644,TDU36656,Created,2026-08-01 18:33:11,2026-09-07,Australia,3,HarshP
2357709,TDU36705,Created,2026-08-05 16:31:42,2026-09-04,Australia,2,hemant
2357717,TDU36711,Created,2026-08-05 18:48:12,2026-09-01,Australia,4,hemant
2357742,TDU36731,Created,2026-08-06 20:54:25,2026-09-05,Australia,2,HarshP
2357802,TDU36772,Created,2026-08-08 22:58:56,2026-09-09,New Zealand,2,HarshP
2357828,TDU27474G,Created,2026-08-11 12:56:07,2026-09-07,Australia,30,
2357831,TDU36789,Created,2026-08-11 17:21:13,2026-08-29,New Zealand,3,HarshP
2357854,TDU36807,Created,2026-08-12 22:46:09,2026-09-07,Australia,2,HarshP
2357917,TDU36856,Created,2026-08-16 17:30:44,2026-09-01,New Zealand,3,
2357945,TDU36874,Created,2026-08-18 14:30:44,2026-08-24,Australia,2,HarshP
2357961,TDU36887,Created,2026-08-18 21:38:00,2026-08-21,Australia,2,HarshP
2357964,TDU36889,Created,2026-08-18 22:57:46,2026-09-06,New Zealand,3,hemant
2357969,TDU36891,Created,2026-08-19 12:01:49,2026-08-20,Australia,5,
2357972,TDU36894,Created,2026-08-19 16:06:43,2026-08-21,Australia,3,HarshP
2357973,TDU36895,Created,2026-08-19 16:21:36,2026-08-31,New Zealand,2,hemant
2357982,TDU36904,Created,2026-08-19 22:18:59,2026-08-23,Australia,2,hemant
2357984,TDU36906,Created,2026-08-19 22:23:35,2026-08-23,New Zealand,3,hemant
