auto_id,quoteid,source,process_date,added_on,total_amount
1,2261017,initial,NULL,2024-11-08 11:15:23,41226
4,2261017,final,NULL,2024-11-08 18:39:46,41856
5,2259779,initial,NULL,2024-11-11 10:10:52,123519
7,2347402,initial,NULL,2024-11-12 09:48:12,111992
9,2347188,initial,NULL,2024-11-12 10:10:33,30
12,2347213,initial,NULL,2024-11-12 10:14:56,29873
18,2228623,initial,NULL,2024-11-25 21:14:23,25108
19,2347122,initial,NULL,2024-12-02 22:20:08,91251
20,2347451,initial,NULL,2024-12-03 01:11:56,98466
26,2347157,initial,NULL,2024-12-13 15:29:51,18681
33,40,initial,NULL,2024-12-23 09:56:01,43441
37,40,final,NULL,2024-12-23 18:24:40,43411
38,2347898,initial,NULL,2024-12-23 21:19:41,2094
42,2228623,initial,NULL,2024-12-26 21:04:44,30556
43,2228623,initial,NULL,2024-12-26 21:04:48,30556
50,2228623,final,NULL,2024-12-26 21:24:29,30526
56,2347788,initial,NULL,2024-12-30 18:16:43,4962.12
58,2347788,final,NULL,2024-12-31 15:59:25,4932.12
66,2347638,initial,NULL,2025-01-07 11:46:16,3715
72,2348193,initial,NULL,2025-01-12 05:32:45,9583
91,2347643,initial,NULL,2025-01-16 01:20:29,93625
97,2348223,initial,NULL,2025-01-18 19:42:29,2738.84
98,2348223,final,NULL,2025-01-18 19:43:03,2708.84
102,2347378,initial,NULL,2025-01-21 02:16:31,79840
108,2348413,initial,NULL,2025-01-22 17:34:14,2416
110,2347064,initial,NULL,2025-01-22 18:52:50,47554
130,2348408,initial,NULL,2025-01-23 18:13:12,1716
138,2348545,final,NULL,2025-01-24 14:06:49,2120
139,2348545,initial,NULL,2025-01-24 14:21:49,2150
150,2347098,initial,NULL,2025-01-28 10:36:03,114270
152,2348459,final,NULL,2025-01-28 11:35:09,7634
158,2311427,initial,NULL,2025-01-29 23:51:01,125544
161,2348459,initial,NULL,2025-01-31 10:20:26,6781
168,2348406,initial,NULL,2025-02-03 18:33:13,3948
169,2349450,initial,NULL,2025-02-03 21:39:29,948
174,2348463,initial,NULL,2025-02-04 12:32:55,2948
176,2347432,initial,NULL,2025-02-04 12:36:50,50094
178,2348251,initial,NULL,2025-02-04 16:09:05,4946
181,2348349,initial,NULL,2025-02-04 18:12:13,1042
184,2348452,initial,NULL,2025-02-09 11:56:32,3486
194,2349548,initial,NULL,2025-02-12 21:37:55,6170
204,2349400,initial,NULL,2025-02-14 14:58:20,2048
206,18,final,NULL,2025-02-14 15:16:47,46052
209,2348352,initial,NULL,2025-02-14 17:59:17,7130
