quoteid,quote_no,created_at,created_by,total,quotestage
1333228,TDU12569G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
1397762,TDU12967G,2024-10-08 17:04:46,,23852.00000000,Completed (Accounts)
1508672,TDU14645G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
1542602,TDU15168G,2024-10-08 17:04:46,,0.00000000,Rejected After Confirmation QA pending
1777358,TDU17961G,2024-10-08 17:04:46,,0.00000000,Rejected
1804663,TDU18189G,2024-10-08 17:04:46,,825.00000000,Auto Rejected
1821971,TDU18387G,2024-10-08 17:04:46,,18395.00000000,Completed (Accounts)
1892732,TDU19238G,2024-10-08 17:04:46,,0.00000000,Rejected
1903320,TDU19374G,2024-10-08 17:04:46,,0.00000000,Rejected
1906692,TDU19408G,2024-10-08 17:04:46,,0.00000000,Rejected
1922963,TDU19574G,2024-10-08 17:04:46,,26843.00000000,On Ground
1933021,TDU19698G,2024-10-08 17:04:46,,3757.00000000,Completed (Accounts)
1943346,TDU19765G,2024-10-08 17:04:46,,0.00000000,Rejected
1973710,TDU20031G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
1980581,TDU20091G,2024-10-08 17:04:46,,0.00000000,On Ground
2003892,TDU20319G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2007443,TDU20352G,2024-10-08 17:04:46,,0.00000000,Rejected
2020555,TDU20489G,2024-10-08 17:04:46,,0.00000000,Rejected
2023950,TDU20534G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2028409,TDU20586G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2038482,TDU20699G,2024-10-08 17:04:46,,0.00000000,Rejected
2042033,TDU20741G,2024-10-08 17:04:46,,12844.00000000,Completed (Accounts)
2046862,TDU20784G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2049021,TDU20813G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2051961,TDU20840G,2024-10-08 17:04:46,,1658.00000000,Rejected
2055558,TDU20885G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2056693,TDU20894G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2060655,TDU20956G,2024-10-08 17:04:46,,12980.00000000,On Ground
2062869,TDU20986G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2063467,TDU20994G,2024-10-08 17:04:46,,0.00000000,Rejected
2063787,TDU21003G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2065338,TDU21031G,2024-10-08 17:04:46,,0.00000000,On Ground
2065505,TDU21032G,2024-10-08 17:04:46,,0.00000000,Rejected
2067201,TDU21050G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2068558,TDU21079G,2024-10-08 17:04:46,,0.00000000,Rejected
2068829,TDU21081G,2024-10-08 17:04:46,,0.00000000,Completed (Accounts)
2070771,TDU21113G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
2075472,TDU21145G,2024-10-08 17:04:46,,0.00000000,Auto Rejected
