created_by,quotes,accepted,rejected,auto_rejected,resolved,accepted_share_pct,resolved_win_pct
Dhiraj,3008,275,2096,291,2371,9.14,11.6
maharshi,827,86,262,369,348,10.4,24.71
abhisheks,496,32,245,87,277,6.45,11.55
hemant,483,63,337,80,400,13.04,15.75
HarshP,476,36,383,53,419,7.56,8.59
sidhikka,350,25,287,38,312,7.14,8.01
,349,48,93,208,141,13.75,34.04
RakeshM,332,17,256,57,273,5.12,6.23
Karthik,311,65,189,57,254,20.9,25.59
Komal,294,7,115,172,122,2.38,5.74
Rachana,289,36,216,37,252,12.46,14.29
harshp,251,20,185,46,205,7.97,9.76
Sidhikka,243,14,198,30,212,5.76,6.6
mayur,231,46,140,45,186,19.91,24.73
Anindita,208,13,130,65,143,6.25,9.09
rakeshm,203,7,111,27,118,3.45,5.93
Priyanka,184,11,126,47,137,5.98,8.03
snehasawant,164,16,101,46,117,9.76,13.68
KUNJAN2,152,10,26,115,36,6.58,27.78
rohitmokal,149,13,108,28,121,8.72,10.74
Pradeep,145,6,116,23,122,4.14,4.92
Pratik,122,7,82,33,89,5.74,7.87
priyanka,102,12,75,15,87,11.76,13.79
abhisheksharma,61,1,45,15,46,1.64,2.17
pankajb,59,27,26,6,53,45.76,50.94
Nishant,48,3,42,3,45,6.25,6.67
Mukesh,44,20,11,13,31,45.45,64.52
pranav,42,5,26,11,31,11.9,16.13
omkar,34,1,31,2,32,2.94,3.12
Glenn,31,1,26,4,27,3.23,3.7
crmadminlee,26,5,14,5,19,19.23,26.32
Anne,25,12,8,5,20,48.0,60.0
Mayur,23,6,15,1,21,26.09,28.57
dhiraj,23,1,18,4,19,4.35,5.26
tausif,19,0,13,6,13,0.0,0.0
pradeep,18,3,14,1,17,16.67,17.65
karthik,18,1,7,10,8,5.56,12.5
Manthan,17,11,1,4,12,64.71,91.67
pankaj,17,9,6,2,15,52.94,60.0
RAKESHM,15,0,5,0,5,0.0,0.0
Rakeshm,11,0,8,3,8,0.0,0.0
pawan,7,2,3,2,5,28.57,40.0
Kunjan,7,3,2,2,5,42.86,60.0
jobm,5,4,1,0,5,80.0,80.0
Daniel,4,0,0,0,0,0.0,
kunal,4,0,3,1,3,0.0,0.0
huikail,2,1,0,0,1,50.0,100.0
shivam,2,0,2,0,2,0.0,0.0
Pranav,1,0,1,0,1,0.0,0.0
Kunal,1,0,0,1,0,0.0,
dashboardturtled_tdu_user,1,1,0,0,1,100.0,100.0
abhishek.ops,1,1,0,0,1,100.0,100.0
