quoteid,quote_no,stage,created_at,trip,pax,owner,ev_date,label
2355137,TDU26775G,Accepted,2026-01-27 11:11:29,2026-11-18,17,,2026-08-03,Unassigned (Groups)
2355617,TDU26887G,Accepted,2026-03-03 10:48:21,2026-12-05,16,,2026-08-11,Unassigned (Groups)
2356351,TDU27070G,Accepted,2026-04-26 17:30:57,2027-02-26,45,karthik,2026-08-07,karthik
2356839,TDU27209G,Accepted,2026-06-05 12:11:42,2026-10-25,60,ArunP,2026-08-17,ArunP
2356995,TDU36180,Accepted,2026-06-17 18:50:08,2026-11-06,5,hemant,2026-08-10,hemant
2357046,TDU36223,Accepted,2026-06-19 22:35:21,2026-09-21,2,hemant,2026-08-05,hemant
2357200,TDU36325,Accepted,2026-07-01 17:48:30,2026-11-13,8,hemant,2026-08-05,hemant
2357317,TDU27344G,Accepted,2026-07-11 14:23:51,2026-09-10,18,karthik,2026-08-17,karthik
2357363,TDU36444,Accepted,2026-07-15 18:35:34,2026-11-28,2,hemant,2026-08-01,hemant
2357403,TDU36480,Accepted,2026-07-17 15:14:54,2026-08-29,2,HarshP,2026-08-11,HarshP
2357454,TDU36519,Accepted,2026-07-20 22:33:32,2026-10-16,9,HarshP,2026-08-01,HarshP
2357477,TDU36535,Accepted,2026-07-22 15:34:14,2026-09-01,2,hemant,2026-08-01,hemant
2357574,TDU36600,Accepted,2026-07-28 23:02:11,2026-12-25,2,HarshP,2026-08-10,HarshP
2357595,TDU27413G,Accepted,2026-07-30 14:35:05,2027-01-30,12,karthik,2026-08-12,karthik
2357610,TDU36630,Accepted,2026-07-30 17:34:15,2026-10-29,4,HarshP,2026-08-03,HarshP
2357635,TDU36649,Accepted,2026-08-01 14:28:37,2026-11-27,3,hemant,2026-08-05,hemant
2357641,TDU36653,Accepted,2026-08-01 17:32:25,2026-09-27,3,hemant,2026-08-03,hemant
2357645,TDU27423G,Accepted,2026-08-01 18:52:56,2026-09-16,26,karthik,2026-08-03,karthik
2357667,TDU36672,Accepted,2026-08-03 16:49:00,2026-11-06,8,HarshP,2026-08-04,HarshP
2357745,TDU36734,Accepted,2026-08-06 21:05:28,2027-02-01,2,hemant,2026-08-14,hemant
2357793,TDU36764,Accepted,2026-08-08 16:53:11,2026-12-02,2,hemant,2026-08-17,hemant
2357818,TDU36781,Accepted,2026-08-10 20:50:50,2026-08-24,2,hemant,2026-08-17,hemant
2357820,TDU36783,Accepted,2026-08-10 22:15:43,2026-10-01,2,hemant,2026-08-14,hemant
2357821,TDU36784,Accepted,2026-08-10 22:17:31,2026-10-07,2,HarshP,2026-08-12,HarshP
2357824,TDU36786,Delivered,2026-08-11 11:55:35,2026-08-29,2,,2026-08-11,Unassigned (FIT)
2357851,TDU36805,PRE QA - pending,2026-08-12 22:13:39,2026-08-22,4,hemant,2026-08-14,hemant
2357856,TDU36809,Accepted,2026-08-12 23:02:01,2026-09-27,1,,2026-08-14,Unassigned (FIT)
2357898,TDU36840,Accepted,2026-08-14 14:35:24,2027-01-26,2,hemant,2026-08-14,hemant
2357912,TDU36853,Accepted,2026-08-14 22:46:37,2027-01-26,2,hemant,2026-08-14,hemant
