file,field,earliest,latest,blank_or_null,invalid_nonblank
daily_runs.csv,run_date,2026-06-25 00:00:00,2026-08-31 00:00:00,0,0
vtiger_payment_history.csv,process_date,2024-09-12 00:00:00,2026-08-19 00:00:00,1037,0
vtiger_payment_history.csv,added_on,2024-11-08 11:15:23,2026-08-20 13:20:31,0,0
vtiger_payment_history.csv,cleared_date,NaT,NaT,2339,0
vtiger_quotes.csv,created_at,2024-09-16 22:06:03,2026-09-10 13:09:29,0,0
vtiger_quotescf.csv,cf_1162,2024-05-15 00:00:00,2028-01-15 00:00:00,0,86
vtiger_quotes_followup.csv,next_follow_up_date,2024-10-11 12:46:00,2026-12-28 12:33:00,0,0
vtiger_quotes_followup.csv,calltime,2024-11-11 16:13:00,2026-09-28 14:17:00,6631,0
vtiger_quotes_followup.csv,created_at,2024-10-10 18:16:28,2026-09-04 16:09:07,0,0
vtiger_quote_stage_track.csv,created_at,2024-10-02 10:07:04,2026-09-11 16:30:10,0,0
