quoteid,quote_no,stage,created_at,trip,country,pax,owner,deleted
2347091,TDU24742G,Auto Rejected,2024-09-23 09:38:07,2025-06-25,Australia,1,,1
2347092,TDU24743G,Auto Rejected,2024-09-23 09:57:12,2025-06-20,Australia,1,,1
2347093,TDU24744G,Auto Rejected,2024-09-23 10:12:46,2025-06-17,Australia,1,,1
2347094,TDU24745G,Auto Rejected,2024-09-23 10:31:03,2025-06-14,Australia,1,,1
2350190,TDU25554G,Auto Rejected,2025-03-25 15:17:20,2025-05-15,Australia,17,,1
2350191,TDU25555G,Auto Rejected,2025-03-25 15:20:04,2025-05-15,Australia,17,,1
2350309,TDU25589G,Auto Rejected,2025-04-03 19:26:42,2025-11-10,Australia,30,,1
2350348,TDU25603G,Auto Rejected,2025-04-07 14:16:50,2025-09-12,Australia,60,,1
2350349,TDU25604G,Auto Rejected,2025-04-07 14:20:49,2025-09-12,Australia,60,,1
2350350,TDU25605G,Auto Rejected,2025-04-07 14:21:31,2025-09-12,Australia,60,,1
2350395,TDU26266,Auto Rejected,2025-04-10 12:48:04,2025-04-12,Australia,6,,1
2350396,TDU27238,Auto Rejected,2025-04-10 12:51:01,2025-04-13,Australia,5,,1
2350397,TDU25586,Auto Rejected,2025-04-10 12:55:45,2025-04-16,Australia,4,,1
2350398,TDU27014,Auto Rejected,2025-04-10 13:00:11,2025-04-18,Australia,4,,1
2351197,TDU25828G,Auto Rejected,2025-06-06 13:17:46,2025-12-03,Australia,15,,1
2351764,TDU25998G,Auto Rejected,2025-07-14 10:44:57,2025-09-22,New Zealand,15,,1
2351924,TDU26044G,Auto Rejected,2025-07-23 13:20:16,2025-09-26,Australia,12,,1
2352075,TDU26084G,Auto Rejected,2025-07-31 22:57:03,2025-10-23,Australia,11,,1
2352189,TDU26120G,Auto Rejected,2025-08-07 19:27:06,2026-05-24,Australia,20,,1
2352472,TDU26205G,Auto Rejected,2025-08-22 09:51:16,2025-11-15,New Zealand,20,,1
2353078,TDU26330G,Auto Rejected,2025-09-17 16:02:12,2026-01-26,Australia,31,,1
2353087,TDU26335G,Auto Rejected,2025-09-17 17:51:12,2026-03-16,New Zealand,40,,1
2353222,TDU26368G,Auto Rejected,2025-09-23 16:55:58,2026-04-24,New Zealand,20,,1
2353786,TDU26474G,Auto Rejected,2025-10-30 23:02:41,2026-04-15,Australia,700,,1
2353916,TDU33852,Auto Rejected,2025-11-06 14:43:19,2026-01-22,Australia,1,,1
2354189,TDU26563G,Auto Rejected,2025-11-21 11:37:04,2026-03-24,Australia,20,,1
2354766,TDU26684G,Auto Rejected,2026-01-01 00:57:10,2026-03-15,New Zealand,12,,1
2355262,TDU26801G,Auto Rejected,2026-02-03 13:02:45,2026-05-09,Australia,190,,1
2355984,TDU26985G,Auto Rejected,2026-03-31 12:49:15,2026-06-03,Australia,20,,1
2355997,TDU26989G,Auto Rejected,2026-04-01 12:35:17,2026-05-07,Australia,11,,1
2356402,TDU27091G,Auto Rejected,2026-04-30 13:02:52,2026-11-15,New Zealand,16,,1
2356584,TDU27139G,Auto Rejected,2026-05-13 11:49:45,2026-09-03,Australia,20,,1
2356706,TDU27168G,Auto Rejected,2026-05-25 11:47:43,2026-11-11,New Zealand,20,,1
2357024,TDU27255G,Auto Rejected,2026-06-19 16:27:28,2026-08-25,New Zealand,50,,1
2357030,TDU27257G,Auto Rejected,2026-06-19 18:06:46,2026-11-17,New Zealand,14,karthik,1
2357089,TDU27277G,Auto Rejected,2026-06-23 10:44:58,2026-09-02,New Zealand,20,,1
2357341,TDU27350G,Auto Rejected,2026-07-14 05:36:08,2027-02-01,New Zealand,20,,1
2358000,TDU37006,Auto Rejected,2026-09-02 15:37:37,2027-06-03,Australia,2,,1
