month,created_by,quotes
2024-09,Anne,17
2024-09,Karthik,1
2024-09,Mukesh,41
2024-09,dashboardturtled_tdu_user,1
2024-09,maharshi,1
2024-09,pankaj,7
2024-10,Anne,7
2024-10,Dhiraj,37
2024-10,Karthik,16
2024-10,Kunjan,5
2024-10,Mukesh,3
2024-10,RakeshM,3
2024-10,hemant,1
2024-10,karthik,3
2024-10,maharshi,48
2024-10,pankaj,10
2024-11,Anne,1
2024-11,Dhiraj,51
2024-11,Karthik,13
2024-11,Kunjan,1
2024-11,RakeshM,5
2024-11,abhishek.ops,1
2024-11,crmadminlee,2
2024-11,hemant,1
2024-11,karthik,10
2024-11,snehasawant,72
2024-12,Dhiraj,65
2024-12,Glenn,23
2024-12,Karthik,13
2024-12,Kunjan,1
2024-12,Nishant,36
2024-12,Pradeep,31
2024-12,Pranav,1
2024-12,Pratik,29
2024-12,Priyanka,20
2024-12,RakeshM,9
2024-12,abhisheksharma,5
2024-12,hemant,1
2024-12,kunal,1
2024-12,maharshi,13
2024-12,pankajb,1
2024-12,pranav,9
2024-12,rohitmokal,2
2024-12,shivam,1
2024-12,snehasawant,11
2024-12,tausif,1
2025-01,Dhiraj,23
2025-01,Glenn,8
2025-01,Karthik,4
2025-01,Komal,19
2025-01,Nishant,10
2025-01,Pradeep,34
2025-01,Pratik,90
2025-01,Priyanka,45
2025-01,abhisheksharma,55
2025-01,crmadminlee,5
2025-01,dhiraj,13
2025-01,harshp,1
2025-01,kunal,1
2025-01,maharshi,64
2025-01,mayur,18
2025-01,pankajb,36
2025-01,pawan,6
2025-01,pranav,18
2025-01,rohitmokal,18
2025-01,shivam,1
2025-01,snehasawant,2
2025-01,tausif,15
2025-02,Anindita,31
2025-02,Dhiraj,16
2025-02,Komal,117
2025-02,Nishant,2
2025-02,Pradeep,1
2025-02,Pratik,3
2025-02,Priyanka,29
2025-02,RakeshM,5
2025-02,abhisheksharma,1
2025-02,crmadminlee,1
2025-02,dhiraj,3
2025-02,kunal,1
2025-02,maharshi,35
2025-02,mayur,70
2025-02,pawan,1
2025-02,pranav,15
2025-02,rohitmokal,1
2025-02,snehasawant,72
2025-03,Anindita,177
2025-03,Dhiraj,6
2025-03,Karthik,1
2025-03,Komal,77
2025-03,Priyanka,19
2025-03,Rachana,22
2025-03,RakeshM,8
2025-03,Sidhikka,2
2025-03,crmadminlee,1
2025-03,maharshi,26
2025-03,mayur,4
2025-03,rohitmokal,13
2025-03,sidhikka,17
2025-03,snehasawant,7
2025-04,Dhiraj,35
2025-04,Karthik,9
2025-04,Komal,15
2025-04,Kunal,1
2025-04,Pradeep,79
2025-04,Priyanka,26
2025-04,Rachana,67
2025-04,RakeshM,7
2025-04,Sidhikka,42
2025-04,crmadminlee,4
2025-04,dhiraj,7
2025-04,harshp,1
2025-04,maharshi,22
2025-04,mayur,11
2025-04,pradeep,4
2025-04,rakeshm,1
2025-04,rohitmokal,53
2025-04,sidhikka,23
2025-05,Dhiraj,55
2025-05,Karthik,8
2025-05,Komal,66
2025-05,Priyanka,13
2025-05,Rachana,43
2025-05,RakeshM,38
2025-05,Rakeshm,6
2025-05,Sidhikka,5
2025-05,crmadminlee,2
2025-05,hemant,11
2025-05,jobm,1
2025-05,maharshi,42
2025-05,mayur,5
2025-05,pradeep,14
2025-05,rohitmokal,53
2025-05,sidhikka,52
2025-06,Dhiraj,20
2025-06,KUNJAN2,24
2025-06,Karthik,6
2025-06,Priyanka,21
2025-06,Rachana,16
2025-06,RakeshM,92
2025-06,Sidhikka,2
2025-06,harshp,46
2025-06,hemant,96
2025-06,maharshi,41
2025-06,mayur,3
2025-06,priyanka,15
2025-06,rohitmokal,9
2025-06,sidhikka,17
2025-06,tausif,3
2025-07,Dhiraj,60
2025-07,KUNJAN2,47
2025-07,Karthik,12
2025-07,Priyanka,11
2025-07,Rachana,3
2025-07,RakeshM,41
2025-07,Sidhikka,3
2025-07,harshp,138
2025-07,hemant,93
2025-07,kunal,1
2025-07,maharshi,70
2025-07,mayur,8
2025-07,priyanka,61
2025-08,Dhiraj,137
2025-08,KUNJAN2,41
2025-08,Karthik,67
2025-08,Rachana,65
2025-08,RakeshM,46
2025-08,Sidhikka,11
2025-08,harshp,65
2025-08,hemant,17
2025-08,karthik,2
2025-08,maharshi,43
2025-08,mayur,30
2025-08,priyanka,16
2025-08,sidhikka,75
2025-09,Dhiraj,197
2025-09,HarshP,11
2025-09,KUNJAN2,34
2025-09,Karthik,76
2025-09,Rachana,66
2025-09,RakeshM,14
2025-09,Sidhikka,5
2025-09,abhisheks,17
2025-09,hemant,4
2025-09,karthik,3
2025-09,maharshi,32
2025-09,mayur,43
2025-09,pankajb,17
2025-09,priyanka,1
2025-09,sidhikka,142
2025-10,Dhiraj,161
2025-10,HarshP,91
2025-10,KUNJAN2,6
2025-10,Karthik,32
2025-10,Rachana,7
2025-10,RakeshM,21
2025-10,Sidhikka,44
2025-10,abhisheks,7
2025-10,hemant,12
2025-10,jobm,1
2025-10,maharshi,36
2025-10,mayur,15
2025-10,pankajb,5
2025-10,priyanka,9
2025-11,Dhiraj,242
2025-11,HarshP,90
2025-11,Karthik,19
2025-11,RakeshM,43
2025-11,Rakeshm,2
2025-11,Sidhikka,59
2025-11,abhisheks,20
2025-11,hemant,4
2025-11,jobm,1
2025-11,maharshi,53
2025-11,mayur,13
2025-11,rakeshm,6
2025-12,Dhiraj,197
2025-12,HarshP,69
2025-12,Karthik,9
2025-12,Mayur,7
2025-12,Sidhikka,4
2025-12,abhisheks,28
2025-12,crmadminlee,2
2025-12,hemant,2
2025-12,jobm,1
2025-12,maharshi,33
2025-12,mayur,8
2025-12,omkar,9
2025-12,rakeshm,10
2025-12,sidhikka,24
2026-01,Dhiraj,158
2026-01,HarshP,91
2026-01,Karthik,7
2026-01,Mayur,4
2026-01,Rakeshm,1
2026-01,Sidhikka,45
2026-01,abhisheks,33
2026-01,crmadminlee,1
2026-01,hemant,46
2026-01,maharshi,46
2026-01,rakeshm,34
2026-02,Dhiraj,108
2026-02,HarshP,53
2026-02,Karthik,7
2026-02,Mayur,7
2026-02,RAKESHM,4
2026-02,Sidhikka,21
2026-02,abhisheks,36
2026-02,hemant,83
2026-02,maharshi,29
2026-02,rakeshm,22
2026-03,Dhiraj,124
2026-03,HarshP,32
2026-03,Karthik,4
2026-03,Manthan,2
2026-03,Mayur,3
2026-03,Rakeshm,2
2026-03,abhisheks,59
2026-03,crmadminlee,1
2026-03,hemant,93
2026-03,maharshi,22
2026-03,omkar,25
2026-03,rakeshm,26
2026-04,Dhiraj,265
2026-04,HarshP,25
2026-04,Karthik,3
2026-04,Manthan,4
2026-04,abhisheks,52
2026-04,crmadminlee,1
2026-04,hemant,4
2026-04,maharshi,52
2026-04,mayur,1
2026-04,rakeshm,16
2026-05,Dhiraj,244
2026-05,HarshP,2
2026-05,Karthik,3
2026-05,Manthan,1
2026-05,abhisheks,55
2026-05,crmadminlee,1
2026-05,hemant,4
2026-05,jobm,1
2026-05,maharshi,25
2026-05,mayur,2
2026-05,rakeshm,18
2026-06,Dhiraj,272
2026-06,HarshP,5
2026-06,Manthan,3
2026-06,RAKESHM,1
2026-06,abhisheks,76
2026-06,hemant,1
2026-06,maharshi,41
2026-06,rakeshm,12
2026-07,Dhiraj,283
2026-07,HarshP,5
2026-07,Karthik,1
2026-07,Manthan,6
2026-07,RAKESHM,2
2026-07,abhisheks,75
2026-07,crmadminlee,1
2026-07,hemant,8
2026-07,maharshi,31
2026-07,rakeshm,27
2026-08,Daniel,2
2026-08,Dhiraj,252
2026-08,HarshP,2
2026-08,Manthan,1
2026-08,Mayur,2
2026-08,RAKESHM,8
2026-08,abhisheks,38
2026-08,crmadminlee,2
2026-08,hemant,2
2026-08,maharshi,22
2026-08,rakeshm,31
2026-09,Daniel,2
2026-09,crmadminlee,2
2026-09,huikail,2
