month,country,quotes
2024-09,Australia,68
2024-09,New Zealand,22
2024-10,Australia,327
2024-10,New Zealand,62
2024-10,Unknown,71
2024-11,Australia,116
2024-11,New Zealand,41
2024-12,Australia,239
2024-12,New Zealand,34
2025-01,Australia,462
2025-01,New Zealand,23
2025-01,Unknown,1
2025-02,Australia,385
2025-02,New Zealand,19
2025-03,Australia,370
2025-03,New Zealand,10
2025-04,Australia,389
2025-04,New Zealand,18
2025-05,Australia,377
2025-05,New Zealand,36
2025-05,Unknown,1
2025-06,Australia,373
2025-06,New Zealand,36
2025-06,Unknown,2
2025-07,Australia,491
2025-07,New Zealand,57
2025-08,Australia,444
2025-08,New Zealand,171
2025-09,Australia,415
2025-09,New Zealand,247
2025-10,Australia,288
2025-10,New Zealand,159
2025-11,Australia,335
2025-11,New Zealand,217
2025-12,Australia,246
2025-12,New Zealand,157
2026-01,Australia,291
2026-01,New Zealand,175
2026-02,Australia,232
2026-02,New Zealand,138
2026-03,Australia,266
2026-03,New Zealand,127
2026-04,Australia,273
2026-04,New Zealand,150
2026-05,Australia,244
2026-05,New Zealand,112
2026-06,Australia,265
2026-06,New Zealand,146
2026-07,Australia,300
2026-07,New Zealand,139
2026-08,Australia,220
2026-08,New Zealand,142
2026-09,Australia,6
