month,segment,quotes
2024-09,Groups (quote suffix G),90
2024-10,Groups (quote suffix G),460
2024-11,Groups (quote suffix G),157
2024-12,FIT (no G suffix),155
2024-12,Groups (quote suffix G),118
2025-01,FIT (no G suffix),352
2025-01,Groups (quote suffix G),134
2025-02,FIT (no G suffix),233
2025-02,Groups (quote suffix G),171
2025-03,FIT (no G suffix),303
2025-03,Groups (quote suffix G),77
2025-04,FIT (no G suffix),315
2025-04,Groups (quote suffix G),92
2025-05,FIT (no G suffix),296
2025-05,Groups (quote suffix G),118
2025-06,FIT (no G suffix),268
2025-06,Groups (quote suffix G),143
2025-07,FIT (no G suffix),409
2025-07,Groups (quote suffix G),139
2025-08,FIT (no G suffix),456
2025-08,Groups (quote suffix G),159
2025-09,FIT (no G suffix),516
2025-09,Groups (quote suffix G),146
2025-10,FIT (no G suffix),364
2025-10,Groups (quote suffix G),83
2025-11,FIT (no G suffix),423
2025-11,Groups (quote suffix G),129
2025-12,FIT (no G suffix),328
2025-12,Groups (quote suffix G),75
2026-01,FIT (no G suffix),360
2026-01,Groups (quote suffix G),106
2026-02,FIT (no G suffix),275
2026-02,Groups (quote suffix G),95
2026-03,FIT (no G suffix),290
2026-03,Groups (quote suffix G),103
2026-04,FIT (no G suffix),320
2026-04,Groups (quote suffix G),103
2026-05,FIT (no G suffix),264
2026-05,Groups (quote suffix G),92
2026-06,FIT (no G suffix),296
2026-06,Groups (quote suffix G),115
2026-07,FIT (no G suffix),327
2026-07,Groups (quote suffix G),112
2026-08,FIT (no G suffix),270
2026-08,Groups (quote suffix G),92
2026-09,FIT (no G suffix),5
2026-09,Groups (quote suffix G),1
