month,quotes,accepted,rejected,auto_rejected,resolved,accepted_share_pct,resolved_win_pct
2024-09,90,49,29,12,78,54.44,62.82
2024-10,460,61,126,273,187,13.26,32.62
2024-11,157,20,87,50,107,12.74,18.69
2024-12,273,12,201,60,213,4.4,5.63
2025-01,486,52,254,180,306,10.7,16.99
2025-02,404,21,195,187,216,5.2,9.72
2025-03,380,27,240,113,267,7.11,10.11
2025-04,407,44,283,80,327,10.81,13.46
2025-05,414,41,275,98,316,9.9,12.97
2025-06,411,37,281,92,318,9.0,11.64
2025-07,548,54,347,147,401,9.85,13.47
2025-08,615,68,432,114,500,11.06,13.6
2025-09,662,48,519,94,567,7.25,8.47
2025-10,447,67,332,46,399,14.99,16.79
2025-11,552,50,430,68,480,9.06,10.42
2025-12,403,40,296,63,336,9.93,11.9
2026-01,466,41,333,82,374,8.8,10.96
2026-02,370,31,243,85,274,8.38,11.31
2026-03,393,35,277,69,312,8.91,11.22
2026-04,423,36,291,76,327,8.51,11.01
2026-05,356,40,251,43,291,11.24,13.75
2026-06,411,52,245,27,297,12.65,17.51
2026-07,439,35,195,8,230,7.97,15.22
2026-08,362,20,43,3,63,5.52,31.75
2026-09,6,2,0,0,2,33.33,100.0
