hour,user,calls
9,ArunP,2
9,HarshP,25
9,hemant,42
10,ArunP,30
10,HarshP,12
10,hemant,26
10,karthik,16
11,ArunP,38
11,HarshP,25
11,hemant,96
11,karthik,11
12,ArunP,58
12,HarshP,102
12,hemant,156
12,karthik,25
13,ArunP,14
13,HarshP,132
13,hemant,144
13,karthik,32
14,ArunP,18
14,HarshP,91
14,hemant,114
14,karthik,5
15,ArunP,35
15,HarshP,98
15,hemant,162
15,karthik,22
16,ArunP,61
16,HarshP,94
16,hemant,121
16,karthik,45
17,ArunP,64
17,HarshP,48
17,hemant,103
17,karthik,128
18,ArunP,14
18,HarshP,19
18,hemant,37
18,karthik,7
