date,user,surfaced,worked
2026-08-05,ArunP,29,9
2026-08-05,HarshP,24,19
2026-08-05,hemant,36,35
2026-08-05,karthik,84,0
2026-08-06,ArunP,26,7
2026-08-06,HarshP,18,17
2026-08-06,hemant,26,26
2026-08-06,karthik,96,1
2026-08-07,ArunP,34,3
2026-08-07,HarshP,17,11
2026-08-07,hemant,22,21
2026-08-07,karthik,99,2
2026-08-08,ArunP,39,0
2026-08-08,HarshP,24,13
2026-08-08,hemant,18,9
2026-08-08,karthik,97,0
2026-08-10,ArunP,47,1
2026-08-10,HarshP,34,22
2026-08-10,hemant,26,23
2026-08-10,karthik,102,4
2026-08-11,ArunP,54,13
2026-08-11,HarshP,26,15
2026-08-11,hemant,21,17
2026-08-11,karthik,103,7
2026-08-12,ArunP,49,11
2026-08-12,HarshP,25,17
2026-08-12,hemant,19,9
2026-08-12,karthik,96,4
2026-08-13,ArunP,47,14
2026-08-13,HarshP,26,10
2026-08-13,hemant,24,0
2026-08-13,karthik,93,2
2026-08-14,ArunP,39,7
2026-08-14,HarshP,42,14
2026-08-14,hemant,47,21
2026-08-14,karthik,95,3
2026-08-15,ArunP,34,0
2026-08-15,HarshP,42,0
2026-08-15,hemant,46,0
2026-08-15,karthik,93,0
2026-08-17,ArunP,41,5
2026-08-17,HarshP,46,29
2026-08-17,hemant,62,60
2026-08-17,karthik,93,2
2026-08-18,ArunP,50,14
2026-08-18,HarshP,31,16
2026-08-18,hemant,21,13
2026-08-18,karthik,91,1
