duplicate,rows
NULL,9354
,327
TDU25806G,10
TDU25002G,6
TDU24874G,4
TDU25029G,4
TDU24833G,3
TDU24973G,3
TDU30729,3
TDU32105,3
TDU25990G,3
TDU24808G,2
TDU24827G,2
TDU25045G,2
TDU25097G,2
TDU25186G,2
TDU25200G,2
TDU24824G,2
TDU25250G,2
TDU25214G,2
TDU25492G,2
TDU31241,2
TDU25657G,2
TDU25659G,2
TDU25746G,2
TDU25748G,2
TDU31914,2
TDU25791G,2
TDU25835G,2
TDU25950G,2
TDU32101,2
TDU32110,2
TDU24793,1
TDU24723,1
TDU24818G,1
TDU24819G,1
TDU24830G,1
TDU24831G,1
TDU24782G,1
TDU24846G,1
TDU24812G,1
TDU24845G,1
TDU24880G,1
TDU24883G,1
TDU24884G,1
TDU24885G,1
TDU24848G,1
TDU24759G,1
TDU24801G,1
TDU24927G,1
TDU24936G,1
TDU24926G,1
TDU24953G,1
TDU24962G,1
TDU25046G,1
TDU25053G,1
TDU24912G,1
TDU24969G,1
TDU24954G,1
TDU25083G,1
TDU24914G,1
TDU24783G,1
TDU25042G,1
TDU25112G,1
TDU25121G,1
TDU25115G,1
TDU25126G,1
TDU25127G,1
TDU25128G,1
TDU25132G,1
TDU25135G,1
TDU25057G,1
TDU00026G,1
TDU24964G,1
TDU25049G,1
TDU25145G,1
TDU25144G,1
TDU25130G,1
TDU25168G,1
TDU00018G,1
TDU25139G,1
TDU25189G,1
TDU25183G,1
TDU25056G,1
TDU25055G,1
TDU24766G,1
TDU30306,1
TDU24894G,1
TDU25140G,1
TDU25231G,1
TDU25245G,1
TDU23621G,1
TDU25303G,1
TDU25306G,1
TDU25308G,1
TDU25309G,1
TDU25311G,1
TDU25312G,1
TDU25317G,1
TDU30590,1
TDU30599,1
TDU25322G,1
TDU30476,1
TDU30548,1
TDU30642,1
TDU25281G,1
TDU30546,1
TDU25386G,1
TDU25210G,1
TDU30707,1
TDU25364G,1
TDU25419G,1
TDU25414G,1
TDU25379G,1
TDU25382G,1
TDU25426G,1
TDU30721,1
TDU30730,1
TDU25255G,1
TDU30746,1
TDU25444G,1
TDU25454G,1
TDU30759,1
TDU30732,1
TDU30429,1
TDU25235G,1
TDU30847,1
TDU30952,1
TDU30408,1
TDU25500G,1
TDU25551G,1
TDU30971,1
TDU31128,1
TDU25511G,1
TDU25572G,1
TDU31142,1
TDU31139,1
TDU30935,1
TDU25595G,1
TDU25088G,1
TDU25552G,1
TDU31230,1
TDU25602G,1
TDU25175G,1
TDU25681G,1
TDU25691G,1
TDU25674G,1
TDU31507,1
TDU31519,1
TDU31542,1
TDU25612G,1
TDU31220,1
TDU25721G,1
TDU25699G,1
TDU22474G,1
TDU25766G,1
TDU31669,1
TDU25780G,1
TDU31722,1
TDU31730,1
TDU31740,1
TDU31748,1
TDU25639G,1
TDU31717,1
TDU25074G,1
TDU25720G,1
TDU25669G,1
TDU24970G,1
TDU25651G,1
TDU31113,1
TDU25708G,1
TDU25704G,1
TDU24859G,1
TDU25826G,1
TDU25845G,1
TDU25846G,1
TDU25731G,1
TDU31765,1
TDU25400G,1
TDU25710G,1
TDU25703G,1
TDU25872G,1
TDU25705G,1
TDU25879G,1
TDU31923,1
TDU25884G,1
TDU31929,1
TDU25702G,1
TDU25167G,1
TDU25894G,1
TDU25896G,1
TDU25867G,1
TDU25888G,1
TDU31927,1
TDU25477G,1
TDU31962,1
TDU25915G,1
TDU31974,1
TDU25878G,1
TDU31975,1
TDU25635G,1
TDU25852G,1
TDU25916G,1
TDU25942G,1
TDU25935G,1
TDU25949G,1
TDU25628G,1
TDU25761G,1
TDU32015,1
TDU31700,1
TDU25873G,1
TDU32018,1
TDU32051,1
TDU32099,1
TDU32100,1
TDU32096,1
TDU32104,1
TDU32103,1
TDU32108,1
TDU32109,1
TDU32126,1
TDU25987G,1
TDU25959G,1
TDU32159,1
TDU32160,1
TDU32166,1
TDU32121,1
TDU25986G,1
TDU25994G,1
TDU25996G,1
TDU25999G,1
TDU25751G,1
TDU31834,1
TDU32217,1
TDU32218,1
TDU31942,1
TDU32229,1
TDU25875G,1
TDU32233,1
TDU32234,1
TDU31935,1
TDU32214,1
TDU26009G,1
