quoteid,user_name,stage,created_at,copies
2186233,Dhiraj,Add Product: Hotel Stay - Harbourside cairns or Si,2024-12-11 20:56:47,2
2186233,Dhiraj,Add Product: Hotel Stay - Mercure Cairns or Simila,2024-12-09 03:18:43,2
2186233,snehasawant,Add Product: Holiday Inn Potts Point with Breakfas,2024-12-06 20:49:28,2
2207286,jobm," Price change: Single Room Price: $0.00 -> $300.00, Double Room Price: $0.00 -> $300.00, Triple Room Price: $0.00 -> $300.00, Child with Bed Price: $0.00 -> $100.00",2025-10-15 11:33:25,2
2207286,jobm," Price change: Single Room Price: $300.00 -> $350.00, Double Room Price: $300.00 -> $350.00, Triple Room Price: $300.00 -> $350.00, Child with Bed Price: $100.00 -> $117.00",2025-10-15 15:54:32,2
2207286,jobm," Price change: Triple Room Price: $300.00 -> $350.00, Child with Bed Price: $100.00 -> $117.00",2025-10-15 13:08:43,3
2207286,jobm," Price change: Triple Room Price: $350.00 -> $300.00, Child with Bed Price: $117.00 -> $100.00",2025-10-15 13:09:19,3
2257101,Priyanka,Add Product: Melbourne Marriott Hotel,2025-01-02 18:32:39,3
2257101,Priyanka,Add Product: Return from Cruise terminal to hotel ,2025-01-02 19:10:17,3
2347064,Dhiraj,Add Product: Dinner at Indian Restaurant,2024-12-30 23:28:47,2
2347064,Dhiraj,Add Product: Dinner at Indian Restaurant,2024-12-30 23:38:43,2
2347064,Dhiraj,Add Product: Hotel Stay - Copthorne Hotel Bay of I,2024-12-07 03:47:23,2
2347064,Dhiraj,Add Product: Hotel Stay - Holiday inn Frankton or ,2024-12-07 03:47:22,3
2347064,Dhiraj,Add Product: Hotel Stay - Sudima Lake Rotorua or S,2024-12-07 03:47:23,2
2347064,Dhiraj,Add Product: Lunch at Indian Restaurant,2024-12-30 23:28:47,2
2347064,Dhiraj,Add Product: Lunch at Indian Restaurant ,2024-12-30 23:38:43,2
2347064,hemant,Add Product: Kingsgate Hotel Autolodge Paihia with,2024-12-06 12:59:26,2
2347064,hemant,Add Product: Sudima Lake Rotorua Hotel with Breakf,2024-12-06 12:54:51,2
2347098,Dhiraj,Add Product: Hotel Stay - Arawa park Rotorua or Si,2024-12-07 16:49:09,2
2347098,Dhiraj,Add Product: Hotel Stay - Heartland Hotel Haast or,2024-12-07 16:49:09,2
2347098,Dhiraj,Add Product: Hotel Stay - Holiday inn Remarkable Q,2024-12-07 16:49:09,2
2347098,Dhiraj,Add Product: Hotel Stay - Mercure Auckland or Simi,2024-12-07 16:49:09,2
2347116,jobm," Price change: Single Room Price: $197.00 -> $199.00, Double Room Price: $197.00 -> $199.00, Triple Room Price: $257.00 -> $259.00, Child with Bed Price: $86.00 -> $87.00",2025-11-21 11:31:03,2
2347432,Dhiraj,Add Product: Hotel Stay -  Pacific Cairns or Simil,2024-12-07 15:26:05,2
2347432,Dhiraj,Add Product: Hotel Stay - Element Melbourne or Sim,2024-12-07 15:26:05,2
2347432,Dhiraj,Add Product: Hotel Stay - Sydney Central Ascott Li,2024-12-07 15:26:05,2
2347437,Dhiraj,Add Product: Hotel Stay - Distinction Hotel Christ,2024-12-10 00:58:17,2
2347437,Dhiraj,Add Product: Indian Dinner ,2024-12-10 00:58:17,2
2347464,Dhiraj,Add Product: Hotel Stay - Le Meridien Melbourne or,2024-12-12 23:27:29,3
2347464,Dhiraj,Add Product: Hotel Stay - Sydney Harbour Marriott ,2024-12-12 23:27:29,3
2347525,maharshi,Private Return transfers from Hotel to Great Barrier reef Cruise terminal | Upto 37 Seater | Price change: Sale Price: $310.00 -> $500.00,2025-05-02 11:55:50,5
2347525,snehasawant,Add Product: Citadines on Bourke Melbourne with Br,2024-12-05 16:41:43,3
2347606,dhiraj,Add Product: Hotel Stay - Holiday Inn Express Melb,2025-01-10 03:40:28,3
2347606,dhiraj,Add Product: Hotel Stay - Holiday inn potts point ,2025-01-08 00:25:32,2
2347636,RakeshM,Add Product: Hotel Stay - Hilton Queenstown Resort,2024-12-02 20:40:09,3
2347636,RakeshM,Add Product: Hotel Stay - Rydges Rotorua or Simila,2024-12-02 20:21:36,2
2347666,Priyanka,Add Product: Sofitel Sydney Darling Harbour with breakfast ,2025-01-16 18:04:20,3
2347668,Dhiraj,Add Product: Hotel Stay - Sydney Harbour Marriot o,2024-12-28 03:00:04,3
2347721,RakeshM,Add Product: Hotel Stay - Holiday inn express & Su,2024-12-03 02:13:23,2
2347721,RakeshM,Add Product: Indian Dinner ,2024-12-03 02:13:23,2
2347723,Dhiraj,Add Product: Hotel Stay - Furama Darling Harbor or,2024-12-13 22:32:51,3
2347723,Dhiraj,Add Product: Hotel Stay - Pacific Cairns or Simila,2024-12-13 22:37:05,3
2347723,Priyanka,Add Product: Holiday Inn Sydney Pots Point with br,2025-01-04 16:41:50,3
2347723,maharshi,"Coach for 10 hours Sydney City Tour (53 Pax) Price change: Sale Price: $4,515.00 -> $6,020.00",2025-04-15 18:17:21,3
2347723,maharshi,"Coach for 12 hours for Blue Mountains(53 Pax) Price change: Sale Price: $5,820.00 -> $7,760.00",2025-04-17 17:15:08,3
2347723,maharshi,"Sydney Airport to Hotel(53 Pax) Price change: Sale Price: $1,417.50 -> $1,888.00",2025-04-15 18:05:08,3
2347727,RakeshM,Add Product: Hotel Stay - Holiday inn express & Su,2024-12-03 02:13:23,2
2347727,RakeshM,Add Product: Indian Dinner ,2024-12-03 02:13:23,2
2347739,dhiraj,Add Product: Hotel Stay - Distinction Hotel Christ,2025-01-12 23:47:54,2
2347739,dhiraj,Add Product: Hotel Stay - Sudima lake rotorua or S,2025-01-12 23:41:20,2
2347742,Dhiraj,Add Product: Hotel Stay - JW Marriott Auckland or ,2024-12-07 00:16:09,3
2347742,Dhiraj,Add Product: Hotel Stay - Pullman Hotel Rotorua or,2024-12-07 00:16:09,2
2347746,Dhiraj,Add Product: Hotel Stay - Arawa park Rotorua or Si,2024-12-05 21:18:26,2
2347746,Dhiraj,Add Product: Hotel Stay - Novotel Lake Rotorua or ,2024-12-15 05:15:10,2
2347748,Dhiraj,Add Product: Hotel Stay - Citadines Melbourne (Qua,2024-12-05 23:21:48,2
2347748,Dhiraj,Add Product: Hotel Stay - Novotel Surfers paradise,2024-12-05 23:21:48,2
2347748,Dhiraj,Add Product: Hotel Stay - Sydney Central Ascott Li,2024-12-05 23:21:48,2
2347749,Dhiraj,Add Product: Hotel Stay - Citadines Melbourne (Qua,2024-12-05 23:21:48,2
2347749,Dhiraj,Add Product: Hotel Stay - Novotel Surfers paradise,2024-12-05 23:21:48,2
2347749,Dhiraj,Add Product: Hotel Stay - Sydney Central Ascott Li,2024-12-05 23:21:48,2
2347750,Dhiraj,Add Product: Hotel Stay - Citadines Melbourne (Qua,2024-12-06 00:09:44,2
2347750,Dhiraj,Add Product: Indian Dinner ,2024-12-06 00:09:44,2
2347751,Dhiraj,Add Product: Hotel Stay - Citadines Melbourne (Qua,2024-12-06 00:09:44,2
2347751,Dhiraj,Add Product: Indian Dinner ,2024-12-06 00:09:44,2
2347755,Karthik,Add Product: Holiday Inn Potts Point with Breakfas,2024-12-06 17:18:13,3
2347756,snehasawant,Add Product: Holiday Inn Potts Point with Breakfas,2024-12-06 20:49:28,2
2347757,Dhiraj,Add Product: Hotel Stay - JW Marriott Auckland or ,2024-12-07 00:16:09,3
2347757,Dhiraj,Add Product: Hotel Stay - Pullman Hotel Rotorua or,2024-12-07 00:16:09,2
2347758,Dhiraj,Add Product: Hotel Stay - JW Marriott Auckland or ,2024-12-07 00:16:09,3
2347758,Dhiraj,Add Product: Hotel Stay - Pullman Hotel Rotorua or,2024-12-07 00:16:09,2
2347761,Dhiraj,Add Product: Hotel Stay - Copthorne Hotel Bay of I,2024-12-07 03:47:23,2
2347761,Dhiraj,Add Product: Hotel Stay - Holiday inn Frankton or ,2024-12-07 03:47:22,3
2347761,Dhiraj,Add Product: Hotel Stay - Sudima Lake Rotorua or S,2024-12-07 03:47:23,2
2347761,hemant,Add Product: Kingsgate Hotel Autolodge Paihia with,2024-12-06 12:59:26,2
2347761,hemant,Add Product: Sudima Lake Rotorua Hotel with Breakf,2024-12-06 12:54:51,2
2347763,Dhiraj,Add Product: Hotel Stay - DoubleTree by Hilton Que,2024-12-07 16:15:11,2
2347763,Dhiraj,Add Product: Hotel Stay - Sudima Christchurch City,2024-12-07 16:17:33,2
2347764,Dhiraj,Add Product: Hotel Stay - DoubleTree by Hilton Que,2024-12-07 16:15:11,2
2347764,Dhiraj,Add Product: Hotel Stay - Sudima Christchurch City,2024-12-07 16:17:33,2
2347766,Dhiraj,Add Product: Hotel Stay - Element Melbourne Richmo,2024-12-08 20:28:48,2
2347766,Dhiraj,Add Product: Hotel Stay - Sydney Central Ascott Li,2024-12-08 20:48:02,2
2347766,Dhiraj,Add Product: Indian Dinner ,2024-12-08 20:28:48,2
2347766,Dhiraj,Add Product: Indian Dinner ,2024-12-08 20:34:56,2
2347766,Dhiraj,Add Product: Indian Dinner ,2024-12-08 20:48:02,2
2347766,Dhiraj,Add Product: Indian Lunch ,2024-12-08 20:48:02,2
2347767,Dhiraj,Add Product: Hotel Stay - Element Melbourne Richmo,2024-12-08 20:28:48,2
2347767,Dhiraj,Add Product: Hotel Stay - Sydney Central Ascott Li,2024-12-08 20:48:02,2
2347767,Dhiraj,Add Product: Indian Dinner ,2024-12-08 20:28:48,2
2347767,Dhiraj,Add Product: Indian Dinner ,2024-12-08 20:34:56,2
2347767,Dhiraj,Add Product: Indian Dinner ,2024-12-08 20:48:02,2
2347767,Dhiraj,Add Product: Indian Lunch ,2024-12-08 20:48:02,2
2347768,Dhiraj,Add Product: Hotel Stay - Holiday inn Queenstown R,2024-12-08 21:05:51,2
2347768,Dhiraj,Add Product: Indian Dinner ,2024-12-08 21:03:32,2
2347768,Dhiraj,Add Product: Indian Dinner ,2024-12-08 21:12:34,2
2347768,Dhiraj,Add Product: Indian Dinner ,2024-12-08 21:21:05,2
2347769,Dhiraj,Add Product: Hotel Stay - Holiday inn Queenstown R,2024-12-08 21:05:51,2
2347769,Dhiraj,Add Product: Indian Dinner ,2024-12-08 21:03:32,2
