date,quotes
2024-09-29,0
2024-10-06,0
2024-10-12,0
2024-10-13,0
2024-10-14,0
2024-10-20,0
2024-10-27,0
2024-10-31,0
2024-11-03,0
2024-11-04,0
2024-11-17,0
2024-12-10,0
2024-12-11,0
2025-02-09,0
2025-03-23,0
2025-03-30,0
2025-04-20,0
2025-08-10,0
2025-08-31,0
2025-09-14,0
2025-09-28,0
2025-10-05,0
2025-10-12,0
2025-10-19,0
2025-11-23,0
2025-12-25,0
2025-12-28,0
2026-01-25,0
2026-01-26,0
2026-02-15,0
2026-03-01,0
2026-03-08,0
2026-03-22,0
2026-03-29,0
2026-04-05,0
2026-04-12,0
2026-05-17,0
2026-06-07,0
2026-06-28,0
2026-07-05,0
2026-07-12,0
2026-08-22,0
2026-08-23,0
2026-08-24,0
2026-08-26,0
2026-08-28,0
2026-08-29,0
2026-08-30,0
2026-09-03,0
2026-09-04,0
2026-09-05,0
2026-09-06,0
2026-09-07,0
2026-09-08,0
2026-09-09,0
