quoteid,quote_no,stage,created_at,trip,country,pax,owner
1777358,TDU17961G,Rejected,2024-10-08 17:04:46,,Australia,1,
1903320,TDU19374G,Rejected,2024-10-08 17:04:46,,Australia,1,
1906692,TDU19408G,Rejected,2024-10-08 17:04:46,,Australia,1,
1943346,TDU19765G,Rejected,2024-10-08 17:04:46,,Australia,1,
2038482,TDU20699G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2068558,TDU21079G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2079298,TDU21188G,Rejected,2024-10-08 17:04:46,,New Zealand,1,
2079304,TDU21189G,Rejected,2024-10-08 17:04:46,,New Zealand,1,
2080922,TDU21206G,Rejected,2024-10-08 17:04:46,,New Zealand,1,
2085301,TDU21262G,Rejected,2024-10-08 17:04:46,,New Zealand,1,
2093901,TDU21345G,Rejected,2024-10-08 17:04:46,,Australia,1,
2108510,TDU21496G,Auto Rejected,2024-10-08 17:04:46,,Unknown,1,
2121572,TDU21604G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2122546,TDU21618G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2124311,TDU21630G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2128023,TDU21683G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2128069,TDU21685G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2130703,TDU21707G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2145285,TDU21845G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2151055,TDU21875G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2158286,TDU21941G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2182141,TDU22177G,Auto Rejected,2024-10-08 17:04:46,,Unknown,1,
2184197,TDU22214G,Auto Rejected,2024-10-08 17:04:46,,Unknown,1,
2185404,TDU22232G,Auto Rejected,2024-10-08 17:04:46,,Unknown,1,
2204411,TDU22432G,Rejected,2024-10-08 17:04:46,,Unknown,1,
2205116,TDU22445G,Auto Rejected,2024-10-08 17:04:46,,Australia,1,
2207718,TDU22484G,Auto Rejected,2024-10-08 17:04:46,,Australia,1,
2207942,TDU22488G,Auto Rejected,2024-10-08 17:04:46,,Unknown,1,
2214213,TDU22536G,Auto Rejected,2024-10-08 17:04:46,,Australia,1,
2215079,TDU22551G,Rejected,2024-10-08 17:04:46,,Australia,1,
2216948,TDU22587G,Auto Rejected,2024-10-08 17:04:46,,Unknown,1,
2220998,TDU22619G,Auto Rejected,2024-10-08 17:04:46,,Unknown,1,
2221292,TDU22622G,Auto Rejected,2024-10-08 17:04:46,,Unknown,1,
2226620,TDU22676G,Auto Rejected,2024-10-08 17:04:46,,Australia,1,
2226782,TDU22677G,Auto Rejected,2024-10-08 17:04:46,,Australia,1,
2227490,TDU22690G,Auto Rejected,2024-10-08 17:04:46,,Australia,1,
