quoteid,cf_1162
1777358,0000-00-00
1903320,0000-00-00
1906692,0000-00-00
1943346,0000-00-00
2038482,0000-00-00
2068558,0000-00-00
2079298,0000-00-00
2079304,0000-00-00
2080922,0000-00-00
2085301,0000-00-00
2093901,0000-00-00
2108510,0000-00-00
2121572,0000-00-00
2122546,0000-00-00
2124311,0000-00-00
2128023,0000-00-00
2128069,0000-00-00
2130703,0000-00-00
2145285,0000-00-00
2151055,0000-00-00
2158286,0000-00-00
2182141,0000-00-00
2184197,0000-00-00
2185404,0000-00-00
2204411,0000-00-00
2205116,0000-00-00
2207718,0000-00-00
2207942,0000-00-00
2214213,0000-00-00
2215079,0000-00-00
2216948,0000-00-00
2220998,0000-00-00
2221292,0000-00-00
2226620,0000-00-00
2226782,0000-00-00
2227490,0000-00-00
2229766,0000-00-00
2234658,0000-00-00
2240533,0000-00-00
2241253,0000-00-00
2241491,0000-00-00
2244495,0000-00-00
2244601,0000-00-00
2244637,0000-00-00
2244640,0000-00-00
2246817,0000-00-00
2247869,0000-00-00
2250847,0000-00-00
2251209,0000-00-00
2251463,0000-00-00
2253174,0000-00-00
2257101,0000-00-00
2259550,0000-00-00
2259617,0000-00-00
2259799,0000-00-00
2260148,0000-00-00
2263438,0000-00-00
2269411,0000-00-00
2274073,0000-00-00
2281313,0000-00-00
2283507,0000-00-00
2284340,0000-00-00
2287449,0000-00-00
2288500,0000-00-00
2288669,0000-00-00
2290458,0000-00-00
2290483,0000-00-00
2290490,0000-00-00
2292638,0000-00-00
2292886,0000-00-00
2294118,0000-00-00
2295188,0000-00-00
2298001,0000-00-00
2299980,0000-00-00
2301704,0000-00-00
2302250,0000-00-00
2302391,0000-00-00
2303658,0000-00-00
2303783,0000-00-00
2310572,0000-00-00
2311987,0000-00-00
2311999,0000-00-00
2313526,0000-00-00
2317169,0000-00-00
2317183,0000-00-00
2333824,0000-00-00
