quoteid,quote_no,country,created_at,quotestage
2028409,TDU20586G,,2024-10-08 17:04:46,Auto Rejected
2038482,TDU20699G,,2024-10-08 17:04:46,Rejected
2068558,TDU21079G,,2024-10-08 17:04:46,Rejected
2108510,TDU21496G,,2024-10-08 17:04:46,Auto Rejected
2121572,TDU21604G,,2024-10-08 17:04:46,Rejected
2122546,TDU21618G,,2024-10-08 17:04:46,Rejected
2124311,TDU21630G,,2024-10-08 17:04:46,Rejected
2128023,TDU21683G,,2024-10-08 17:04:46,Rejected
2128069,TDU21685G,,2024-10-08 17:04:46,Rejected
2130703,TDU21707G,,2024-10-08 17:04:46,Rejected
2139554,TDU21780G,,2024-10-08 17:04:46,Auto Rejected
2142278,TDU21815G,,2024-10-08 17:04:46,Rejected
2145285,TDU21845G,,2024-10-08 17:04:46,Rejected
2151055,TDU21875G,,2024-10-08 17:04:46,Rejected
2158286,TDU21941G,,2024-10-08 17:04:46,Rejected
2182141,TDU22177G,,2024-10-08 17:04:46,Auto Rejected
2184197,TDU22214G,,2024-10-08 17:04:46,Auto Rejected
2185404,TDU22232G,,2024-10-08 17:04:46,Auto Rejected
2204411,TDU22432G,,2024-10-08 17:04:46,Rejected
2207942,TDU22488G,,2024-10-08 17:04:46,Auto Rejected
2216948,TDU22587G,,2024-10-08 17:04:46,Auto Rejected
2220998,TDU22619G,,2024-10-08 17:04:46,Auto Rejected
2221292,TDU22622G,,2024-10-08 17:04:46,Auto Rejected
2229766,TDU22716G,,2024-10-08 17:04:46,Rejected
2234658,TDU22775G,,2024-10-08 17:04:46,Auto Rejected
2240533,TDU22837G,,2024-10-08 17:04:46,Auto Rejected
2241253,TDU22848G,,2024-10-08 17:04:46,Auto Rejected
2244495,TDU22891G,,2024-10-08 17:04:46,Auto Rejected
2244601,TDU22894G,,2024-10-08 17:04:46,Auto Rejected
2244637,TDU22895G,,2024-10-08 17:04:46,Auto Rejected
2244640,TDU22896G,,2024-10-08 17:04:46,Auto Rejected
2246817,TDU22923G,,2024-10-08 17:04:46,Auto Rejected
2247869,TDU22940G,,2024-10-08 17:04:46,Auto Rejected
2250847,TDU22967G,,2024-10-08 17:04:46,Auto Rejected
2251209,TDU22970G,,2024-10-08 17:04:46,Auto Rejected
2251463,TDU22976G,,2024-10-08 17:04:46,Auto Rejected
2253174,TDU22988G,,2024-10-08 17:04:46,Auto Rejected
2257101,TDU23043G,,2024-10-08 17:04:46,Auto Rejected
2259550,TDU23067G,,2024-10-08 17:04:46,Auto Rejected
2259617,TDU23073G,,2024-10-08 17:04:46,Auto Rejected
2259799,TDU23079G,,2024-10-08 17:04:46,Auto Rejected
2260148,TDU23090G,,2024-10-08 17:04:46,Auto Rejected
2263438,TDU23127G,,2024-10-08 17:04:46,Auto Rejected
2269411,TDU23225G,,2024-10-08 17:04:46,Auto Rejected
2274073,TDU23309G,,2024-10-08 17:04:46,Auto Rejected
2281313,TDU23457G,,2024-10-08 17:04:46,Auto Rejected
2283507,TDU23498G,,2024-10-08 17:04:46,Auto Rejected
2284340,TDU23530G,,2024-10-08 17:04:46,Auto Rejected
2287449,TDU23587G,,2024-10-08 17:04:46,Auto Rejected
2288500,TDU23604G,,2024-10-08 17:04:46,Auto Rejected
2288669,TDU23608G,,2024-10-08 17:04:46,Auto Rejected
2290458,TDU23634G,,2024-10-08 17:04:46,Auto Rejected
2290483,TDU23636G,,2024-10-08 17:04:46,Auto Rejected
2290490,TDU23638G,,2024-10-08 17:04:46,Auto Rejected
2292638,TDU23688G,,2024-10-08 17:04:46,Auto Rejected
2292886,TDU23693G,,2024-10-08 17:04:46,Auto Rejected
2294118,TDU23723G,,2024-10-08 17:04:46,Auto Rejected
2295188,TDU23741G,,2024-10-08 17:04:46,Auto Rejected
2298001,TDU23781G,,2024-10-08 17:04:46,Auto Rejected
2299980,TDU23821G,,2024-10-08 17:04:46,Auto Rejected
2301704,TDU23851G,,2024-10-08 17:04:46,Auto Rejected
2302250,TDU23864G,,2024-10-08 17:04:46,Auto Rejected
2302391,TDU23866G,,2024-10-08 17:04:46,Auto Rejected
2303658,TDU23885G,,2024-10-08 17:04:46,Auto Rejected
2303783,TDU23888G,,2024-10-08 17:04:46,Auto Rejected
2311987,TDU24072G,,2024-10-08 17:04:46,Auto Rejected
2311999,TDU24073G,,2024-10-08 17:04:46,Auto Rejected
2313526,TDU24097G,,2024-10-08 17:04:46,Auto Rejected
2317169,TDU24172G,,2024-10-08 17:04:46,Auto Rejected
2317183,TDU24173G,,2024-10-08 17:04:46,Auto Rejected
2333824,TDU24490G,,2024-10-08 17:04:46,Auto Rejected
2349370,TDU30525,,2025-01-24 18:24:00,Rejected
2350793,TDU31519,N/A,2025-05-07 12:13:55,Rejected
2351157,TDU31777,N/A,2025-06-04 21:26:47,Rejected
2351159,TDU31779,N/A,2025-06-04 21:52:17,Auto Rejected
