quoteid,quote_no,stage,created_at,trip,country,pax,owner
1397762,TDU12967G,Completed (Accounts),2024-10-08 17:04:46,2024-06-21,Australia,1,
1508672,TDU14645G,Auto Rejected,2024-10-08 17:04:46,2024-06-01,Australia,1,
1804663,TDU18189G,Auto Rejected,2024-10-08 17:04:46,2024-06-03,Australia,1,
1821971,TDU18387G,Completed (Accounts),2024-10-08 17:04:46,2024-06-02,Australia,1,
1922963,TDU19574G,On Ground,2024-10-08 17:04:46,2024-08-24,Australia,1,
1973710,TDU20031G,Auto Rejected,2024-10-08 17:04:46,2024-05-29,Australia,1,
1980581,TDU20091G,On Ground,2024-10-08 17:04:46,2024-09-23,Australia,1,
2023950,TDU20534G,Auto Rejected,2024-10-08 17:04:46,2024-08-17,New Zealand,1,
2028409,TDU20586G,Auto Rejected,2024-10-08 17:04:46,2024-05-18,Unknown,1,
2042033,TDU20741G,Completed (Accounts),2024-10-08 17:04:46,2024-05-15,Australia,10,
2046862,TDU20784G,Auto Rejected,2024-10-08 17:04:46,2024-08-01,Australia,1,
2049021,TDU20813G,Auto Rejected,2024-10-08 17:04:46,2024-05-26,New Zealand,1,
2055558,TDU20885G,Auto Rejected,2024-10-08 17:04:46,2024-09-19,Australia,1,
2056693,TDU20894G,Auto Rejected,2024-10-08 17:04:46,2024-09-25,Australia,1,
2060655,TDU20956G,On Ground,2024-10-08 17:04:46,2024-09-18,New Zealand,1,
2062869,TDU20986G,Auto Rejected,2024-10-08 17:04:46,2024-06-30,New Zealand,1,
2063467,TDU20994G,Rejected,2024-10-08 17:04:46,2024-10-02,Australia,1,
2063787,TDU21003G,Auto Rejected,2024-10-08 17:04:46,2024-09-11,Australia,1,
2065338,TDU21031G,On Ground,2024-10-08 17:04:46,2024-09-25,Australia,1,
2068829,TDU21081G,Completed (Accounts),2024-10-08 17:04:46,2024-05-17,Australia,1,
2070771,TDU21113G,Auto Rejected,2024-10-08 17:04:46,2024-07-24,Australia,1,
2075472,TDU21145G,Auto Rejected,2024-10-08 17:04:46,2024-09-18,Australia,1,
2076306,TDU21151G,Auto Rejected,2024-10-08 17:04:46,2024-07-01,Australia,1,
2078954,TDU21186G,Auto Rejected,2024-10-08 17:04:46,2024-05-15,Australia,1,
2079898,TDU21194G,Rejected,2024-10-08 17:04:46,2024-09-18,Australia,1,
2079930,TDU21195G,Auto Rejected,2024-10-08 17:04:46,2024-06-20,Australia,1,
2081037,TDU21209G,Completed (Accounts),2024-10-08 17:04:46,2024-07-05,Australia,32,
2081054,TDU21210G,Rejected,2024-10-08 17:04:46,2024-09-19,Australia,1,
2082425,TDU21220G,Auto Rejected,2024-10-08 17:04:46,2024-06-30,Australia,1,
2082928,TDU21233G,Auto Rejected,2024-10-08 17:04:46,2024-09-26,Australia,1,
2084007,TDU21250G,Auto Rejected,2024-10-08 17:04:46,2024-05-25,Australia,1,
2087578,TDU21285G,Auto Rejected,2024-10-08 17:04:46,2024-09-01,New Zealand,1,
2088339,TDU21295G,Auto Rejected,2024-10-08 17:04:46,2024-08-01,New Zealand,1,
2090512,TDU21318G,Auto Rejected,2024-10-08 17:04:46,2024-09-20,Australia,1,
2091149,TDU21323G,Auto Rejected,2024-10-08 17:04:46,2024-09-15,Australia,1,
2091335,TDU21326G,Auto Rejected,2024-10-08 17:04:46,2024-06-07,Australia,1,
2092312,TDU21336G,Auto Rejected,2024-10-08 17:04:46,2024-07-15,Australia,1,
2095136,TDU21357G,Rejected,2024-10-08 17:04:46,2024-10-01,Australia,1,
2095759,TDU21366G,Rejected,2024-10-08 17:04:46,2024-09-29,Australia,1,
2101353,TDU21431G,Auto Rejected,2024-10-08 17:04:46,2024-08-13,Australia,1,
2102380,TDU21439G,Auto Rejected,2024-10-08 17:04:46,2024-09-19,Australia,1,
2102719,TDU21443G,Auto Rejected,2024-10-08 17:04:46,2024-06-09,Australia,1,
2104879,TDU21466G,Auto Rejected,2024-10-08 17:04:46,2024-08-29,Australia,1,
2107588,TDU21490G,Auto Rejected,2024-10-08 17:04:46,2024-06-01,Australia,1,
2108974,TDU21504G,Auto Rejected,2024-10-08 17:04:46,2024-06-25,Australia,1,
2110442,TDU21510G,Auto Rejected,2024-10-08 17:04:46,2024-06-03,Australia,1,
2120471,TDU21599G,Auto Rejected,2024-10-08 17:04:46,2024-08-29,Australia,1,
2120781,TDU21602G,Auto Rejected,2024-10-08 17:04:46,2024-06-13,Australia,1,
2123612,TDU21624G,Auto Rejected,2024-10-08 17:04:46,2024-09-19,Australia,1,
2127360,TDU21667G,Auto Rejected,2024-10-08 17:04:46,2024-09-12,Australia,1,
2129614,TDU21693G,Auto Rejected,2024-10-08 17:04:46,2024-07-02,Australia,1,
2130529,TDU21704G,Auto Rejected,2024-10-08 17:04:46,2024-07-17,Australia,1,
2133706,TDU21725G,Auto Rejected,2024-10-08 17:04:46,2024-08-08,Australia,1,
2134517,TDU21734G,Auto Rejected,2024-10-08 17:04:46,2024-07-01,Australia,1,
2135050,TDU21746G,Auto Rejected,2024-10-08 17:04:46,2024-06-21,Australia,1,
2136461,TDU21750G,Auto Rejected,2024-10-08 17:04:46,2024-08-03,Australia,1,
2136969,TDU21758G,Auto Rejected,2024-10-08 17:04:46,2024-09-21,Australia,1,
2139087,TDU21775G,Auto Rejected,2024-10-08 17:04:46,2024-08-22,Australia,1,
2139554,TDU21780G,Auto Rejected,2024-10-08 17:04:46,2024-09-15,Unknown,1,
2141745,TDU21801G,Rejected,2024-10-08 17:04:46,2024-09-23,Australia,1,
2142256,TDU21814G,Auto Rejected,2024-10-08 17:04:46,2024-08-09,New Zealand,1,
2142278,TDU21815G,Rejected,2024-10-08 17:04:46,2024-10-01,Unknown,1,
2145052,TDU21840G,Auto Rejected,2024-10-08 17:04:46,2024-09-08,Australia,1,
2145429,TDU21848G,Auto Rejected,2024-10-08 17:04:46,2024-10-03,Australia,1,
2153590,TDU21900G,On Ground,2024-10-08 17:04:46,2024-09-25,Australia,1,
2153623,TDU21901G,Completed (Accounts),2024-10-08 17:04:46,2024-06-16,Australia,1,
2155515,TDU21916G,Auto Rejected,2024-10-08 17:04:46,2024-08-02,Australia,1,
2158952,TDU21951G,Auto Rejected,2024-10-08 17:04:46,2024-06-17,Australia,1,
2159274,TDU21957G,Auto Rejected,2024-10-08 17:04:46,2024-09-17,Australia,1,
2159557,TDU21961G,Auto Rejected,2024-10-08 17:04:46,2024-09-28,Australia,1,
2165489,TDU22018G,Auto Rejected,2024-10-08 17:04:46,2024-07-07,Australia,1,
2165909,TDU22022G,Auto Rejected,2024-10-08 17:04:46,2024-10-01,Australia,1,
2165922,TDU22023G,Auto Rejected,2024-10-08 17:04:46,2024-08-15,Australia,1,
2167477,TDU22043G,Auto Rejected,2024-10-08 17:04:46,2024-10-02,Australia,1,
2169768,TDU22064G,Auto Rejected,2024-10-08 17:04:46,2024-06-18,Australia,1,
2172577,TDU22078G,Auto Rejected,2024-10-08 17:04:46,2024-09-22,Australia,1,
2173564,TDU22094G,Auto Rejected,2024-10-08 17:04:46,2024-07-25,Australia,1,
2174009,TDU22097G,On Ground,2024-10-08 17:04:46,2024-09-12,Australia,1,
2176706,TDU22114G,Auto Rejected,2024-10-08 17:04:46,2024-08-31,Australia,1,
