quoteid,quote_no,stage,created_at,trip,country,pax,owner
36,TDU00016G,Rejected After Confirmation QA pending,2024-09-17 20:20:32,2025-03-12,New Zealand,150,
38,TDU00017G,Rejected After Confirmation QA pending,2024-09-17 20:40:46,2025-03-15,Australia,150,
47,TDU00023G,Rejected After Confirmation QA pending,2024-09-18 13:44:13,2024-12-23,Australia,1,
1542602,TDU15168G,Rejected After Confirmation QA pending,2024-10-08 17:04:46,2024-10-13,Australia,1,
2127834,TDU21677G,Rejected After Confirmation QA pending,2024-10-08 17:04:46,2024-10-21,Australia,1,
2248195,TDU22949G,Rejected After Confirmation QA pending,2024-10-08 17:04:46,2025-02-18,Australia,1,
2310663,TDU24046G,Rejected After Confirmation QA pending,2024-10-08 17:04:46,2024-10-16,Australia,1,
2347055,TDU24718G,Rejected After Confirmation QA pending,2024-09-18 16:08:06,2025-03-16,New Zealand,20,
2347059,TDU24722G,Rejected After Confirmation QA pending,2024-09-18 18:49:25,2025-04-16,New Zealand,1,
2347063,TDU24726G,Rejected After Confirmation QA pending,2024-09-18 21:17:35,2025-01-17,New Zealand,32,
2347077,TDU24734G,Rejected After Confirmation QA pending,2024-09-20 13:57:37,2024-12-31,New Zealand,1,
2347078,TDU24735G,Rejected After Confirmation QA pending,2024-09-20 15:58:02,2025-01-21,New Zealand,1,
2347083,TDU24737G,Rejected After Confirmation QA pending,2024-09-21 09:15:15,2024-12-22,Australia,1,
2347086,TDU24739G,Rejected After Confirmation QA pending,2024-09-22 10:05:33,2025-01-12,Australia,1,
2347090,TDU24741G,Rejected After Confirmation QA pending,2024-09-23 08:06:24,2025-01-12,Australia,1,
2347142,TDU24773G,Rejected After Confirmation QA pending,2024-09-26 09:51:28,2025-02-09,Australia,40,
2347143,TDU24774G,Rejected After Confirmation QA pending,2024-09-26 10:14:36,2025-03-10,Australia,40,
2347710,TDU25083G,Rejected After Confirmation QA pending,2024-12-01 01:28:37,2025-02-18,New Zealand,40,
2347711,TDU25084G,Rejected After Confirmation QA pending,2024-12-01 01:35:37,2025-03-18,New Zealand,40,
2347746,TDU25099G,Rejected After Confirmation QA pending,2024-12-05 20:33:16,2025-03-17,New Zealand,20,
