quoteid,quote_no,stage,created_at,trip,country,pax,owner
2347404,TDU24927G,Auto Rejected,2024-11-02 16:08:01,2025-02-06,Australia,250,
2347423,TDU24937G,Auto Rejected,2024-11-07 00:59:24,2025-02-06,Australia,255,
2347455,TDU24958G,Accounts - Reconciliation,2024-11-09 17:59:30,2024-12-07,Australia,240,karthik
2347496,TDU24979G,Rejected,2024-11-12 20:08:02,2025-09-25,Australia,300,
2347499,TDU24981G,Rejected,2024-11-12 20:57:12,2025-09-27,Australia,300,
2347508,TDU24987G,Rejected,2024-11-13 16:59:27,2025-05-10,Australia,250,
2347532,TDU25007G,Auto Rejected,2024-11-16 23:09:48,2025-02-15,Australia,300,
2347776,TDU25113G,Auto Rejected,2024-12-09 02:08:47,2025-04-20,Australia,300,
2347884,TDU25166G,Auto Rejected,2024-12-21 20:27:09,2025-02-20,New Zealand,300,karthik
2348005,TDU25179G,Auto Rejected,2024-12-25 18:35:25,2025-02-20,Australia,392,karthik
2349381,TDU25289G,Rejected,2025-01-24 23:37:39,2025-03-13,New Zealand,300,
2349392,TDU25290G,Rejected,2025-01-26 01:38:42,2025-04-27,New Zealand,250,
2349551,TDU25348G,Rejected,2025-02-06 17:54:59,2025-05-28,Australia,500,
2349552,TDU25349G,Rejected,2025-02-06 17:58:05,2025-05-29,Australia,500,
2349624,TDU25388G,Rejected,2025-02-11 23:55:47,2025-06-25,Australia,220,
2350092,TDU25534G,Rejected,2025-03-17 23:46:10,2025-07-08,Australia,2500,
2350113,TDU25537G,Rejected,2025-03-19 00:33:25,2025-07-08,Australia,2550,
2350225,TDU25563G,Rejected,2025-03-27 01:34:18,2025-05-01,Australia,295,
2350226,TDU25564G,Rejected,2025-03-27 01:39:56,2025-05-16,Australia,295,
2350822,TDU25713G,Rejected,2025-05-09 10:09:46,2025-11-15,Australia,202,
2351228,TDU25838G,Rejected,2025-06-09 21:53:39,2025-09-15,Australia,350,
2351229,TDU25839G,Rejected,2025-06-09 21:55:53,2025-09-07,Australia,350,
2351326,TDU25874G,Rejected,2025-06-16 10:42:46,2025-09-01,Australia,300,
2351391,TDU25890G,Rejected,2025-06-20 14:00:49,2025-10-30,Australia,225,
2351392,TDU25891G,Rejected,2025-06-20 15:02:40,2025-10-30,Australia,300,
2351450,TDU25910G,Rejected,2025-06-24 16:47:59,2025-11-01,Australia,250,
2351456,TDU25914G,Auto Rejected,2025-06-24 20:13:02,2025-08-18,Australia,215,
2351595,TDU25963G,Rejected,2025-07-04 16:02:30,2025-09-15,Australia,600,
2351680,TDU25980G,Auto Rejected,2025-07-08 20:47:19,2025-09-10,Australia,250,
2351881,TDU26035G,Rejected,2025-07-20 02:28:24,2026-08-01,Australia,300,
2352152,TDU26109G,Rejected,2025-08-06 05:49:54,2025-09-20,New Zealand,305,
2352202,TDU26123G,Auto Rejected,2025-08-08 12:42:02,2025-11-11,Australia,250,
2352247,TDU26133G,Rejected,2025-08-11 19:08:47,2026-11-20,Australia,250,
2352248,TDU26134G,Auto Rejected,2025-08-11 19:09:36,2025-11-11,Australia,250,
2352913,TDU26303G,Rejected,2025-09-10 14:32:13,2026-02-01,Australia,300,
2353069,TDU26327G,Accepted,2025-09-17 09:29:15,2025-12-10,Australia,250,
2353111,TDU26342G,Auto Rejected,2025-09-17 23:47:17,2026-02-21,Australia,1010,
2353303,TDU26384G,Rejected,2025-09-27 14:42:12,2026-06-03,Australia,500,
2353422,TDU26411G,Rejected,2025-10-06 12:12:35,2026-02-01,Australia,250,
2353539,TDU26430G,Rejected,2025-10-13 21:08:10,2025-12-01,Australia,250,
2353786,TDU26474G,Auto Rejected,2025-10-30 23:02:41,2026-04-15,Australia,700,
2353796,TDU26475G,Rejected,2025-10-31 05:23:23,2026-04-15,Australia,700,
2353797,TDU26476G,Rejected,2025-10-31 07:10:38,2026-04-15,Australia,700,
2353798,TDU26477G,Rejected,2025-10-31 07:13:51,2026-04-16,Australia,300,
2354314,TDU26596G,Auto Rejected,2025-11-27 15:12:33,2026-01-15,New Zealand,217,
2354333,TDU26601G,Rejected,2025-11-28 13:38:48,2026-02-13,Australia,300,
2354345,TDU26602G,Rejected,2025-11-28 22:19:17,2026-01-15,New Zealand,217,
2354917,TDU26718G,Rejected,2026-01-12 15:45:45,2026-09-12,Australia,300,
2355074,TDU26758G,Rejected,2026-01-21 05:29:16,2026-04-02,New Zealand,500,
2355141,TDU26779G,Rejected,2026-01-27 17:00:21,2026-04-02,New Zealand,500,
2355481,TDU26849G,Auto Rejected,2026-02-21 08:12:46,2026-04-07,New Zealand,240,
2355619,TDU26889G,Rejected,2026-03-03 13:06:44,2026-06-08,Australia,356,
2355634,TDU26895G,Rejected,2026-03-04 14:58:45,2026-08-05,Australia,400,
2355635,TDU26896G,Rejected,2026-03-04 15:00:30,2026-08-05,Australia,400,ArunP
2355639,TDU26899G,Auto Rejected,2026-03-04 18:02:42,2026-06-16,Australia,440,
2355640,TDU26900G,Rejected,2026-03-04 18:12:43,2026-05-16,Australia,440,
2355662,TDU26903G,Rejected,2026-03-06 10:44:36,2026-08-05,Australia,400,
2355773,TDU26929G,Auto Rejected,2026-03-15 11:31:51,2026-04-12,New Zealand,225,
