quoteid,quote_no,stage,created_at,trip,country,pax,owner
9,TDU00004G,On Ground,2024-09-16 22:06:03,2024-09-22,Australia,1,
13,TDU00006G,Accounts - Reconciliation,2024-09-17 11:52:00,2024-10-26,Australia,1,
18,TDU00007G,Accounts - Reconciliation,2024-09-17 14:12:35,2024-10-13,Australia,27,
22,TDU00008G,Accounts - Reconciliation,2024-09-17 15:43:41,2024-11-04,Australia,1,
23,TDU00009G,Accounts - Reconciliation,2024-09-17 15:55:41,2024-11-05,Australia,40,
25,TDU00010G,Accounts - Reconciliation,2024-09-17 16:54:11,2024-11-23,Australia,1,
27,TDU00011G,Accounts - Reconciliation,2024-09-17 17:48:54,2024-11-05,Australia,1,
30,TDU00012G,Accounts - Reconciliation,2024-09-17 19:00:12,2024-12-07,Australia,1,
40,TDU00018G,Accounts - Reconciliation,2024-09-17 21:10:47,2024-12-22,Australia,25,
42,TDU00019G,Accounts - Reconciliation,2024-09-17 22:20:52,2024-11-06,Australia,1,
43,TDU00020G,Accounts - Reconciliation,2024-09-17 22:28:29,2024-12-15,Australia,1,
45,TDU00021G,Accounts - Reconciliation,2024-09-18 09:49:12,2024-10-31,Australia,1,
46,TDU00022G,Accounts - Reconciliation,2024-09-18 09:54:26,2024-10-31,Australia,1,
48,TDU00024G,Accounts - Reconciliation,2024-09-18 14:10:41,2024-11-20,Australia,1,
1397762,TDU12967G,Completed (Accounts),2024-10-08 17:04:46,2024-06-21,Australia,1,
1821971,TDU18387G,Completed (Accounts),2024-10-08 17:04:46,2024-06-02,Australia,1,
1922963,TDU19574G,On Ground,2024-10-08 17:04:46,2024-08-24,Australia,1,
1933021,TDU19698G,Completed (Accounts),2024-10-08 17:04:46,2025-05-17,Australia,1,
1980581,TDU20091G,On Ground,2024-10-08 17:04:46,2024-09-23,Australia,1,
2042033,TDU20741G,Completed (Accounts),2024-10-08 17:04:46,2024-05-15,Australia,10,
2060655,TDU20956G,On Ground,2024-10-08 17:04:46,2024-09-18,New Zealand,1,
2065338,TDU21031G,On Ground,2024-10-08 17:04:46,2024-09-25,Australia,1,
2068829,TDU21081G,Completed (Accounts),2024-10-08 17:04:46,2024-05-17,Australia,1,
2081037,TDU21209G,Completed (Accounts),2024-10-08 17:04:46,2024-07-05,Australia,32,
2153590,TDU21900G,On Ground,2024-10-08 17:04:46,2024-09-25,Australia,1,
2153623,TDU21901G,Completed (Accounts),2024-10-08 17:04:46,2024-06-16,Australia,1,
2173900,TDU22096G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-10-26,Australia,1,
2174009,TDU22097G,On Ground,2024-10-08 17:04:46,2024-09-12,Australia,1,
2181741,TDU22172G,On Ground,2024-10-08 17:04:46,2024-09-14,Australia,1,
2187206,TDU22254G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-11-01,New Zealand,25,
2207286,TDU22474G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-11-24,New Zealand,19,
2219152,TDU22605G,Completed (Accounts),2024-10-08 17:04:46,2024-07-14,Australia,1,
2228623,TDU22708G,On Ground,2024-10-08 17:04:46,2024-12-27,Australia,16,
2246239,TDU22911G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-10-17,Australia,1,
2259577,TDU23071G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-12-04,New Zealand,1,
2259623,TDU23074G,On Ground,2024-10-08 17:04:46,2024-09-05,Australia,1,
2259779,TDU23077G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-11-17,Australia,36,
2261017,TDU23103G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-11-02,Australia,18,
2267024,TDU23183G,On Ground,2024-10-08 17:04:46,2024-09-15,Australia,1,
2275421,TDU23342G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-11-09,Australia,26,
2275705,TDU23349G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-11-16,Australia,20,
2309546,TDU24007G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-10-14,Australia,33,
2311427,TDU24060G,Accounts - Reconciliation,2024-10-08 17:04:46,2025-02-02,New Zealand,26,
2334979,TDU24511G,Accounts - Reconciliation,2024-10-08 17:04:46,2024-11-03,Australia,1,
2347056,TDU24719G,Accounts - Reconciliation,2024-09-18 17:45:56,2024-10-18,Australia,1,
2347060,TDU24723G,Accounts - Reconciliation,2024-09-18 19:28:11,2024-10-09,Australia,19,
2347061,TDU24724G,Accounts - Reconciliation,2024-09-18 20:21:28,2024-10-20,Australia,1,
2347062,TDU24725G,Accounts - Reconciliation,2024-09-18 20:48:31,2024-12-12,Australia,1,
2347064,TDU24727G,On Ground,2024-09-18 21:33:46,2025-01-26,New Zealand,12,
2347068,TDU24729G,Accounts - Reconciliation,2024-09-19 15:12:11,2024-10-18,Australia,1,
2347069,TDU24730G,Accounts - Reconciliation,2024-09-19 16:16:49,2024-11-05,New Zealand,1,
2347070,TDU24731G,On Ground,2024-09-19 16:36:08,2024-09-25,Australia,44,
2347071,TDU24732G,Accounts - Reconciliation,2024-09-19 17:26:15,2024-11-07,Australia,1,
2347075,TDU24733G,Accounts - Reconciliation,2024-09-19 19:54:59,2024-11-08,Australia,1,
2347085,TDU24738G,Accounts - Reconciliation,2024-09-21 10:19:47,2024-11-05,Australia,1,
2347088,TDU24740G,Accounts - Reconciliation,2024-09-23 07:26:13,2024-11-05,Australia,1,
2347098,TDU24749G,Accounts - Reconciliation,2024-09-23 16:31:22,2025-02-11,New Zealand,30,
2347105,TDU24751G,Accounts - Reconciliation,2024-09-23 20:07:03,2024-11-22,Australia,1,
2347107,TDU24752G,Accounts - Reconciliation,2024-09-23 20:39:10,2024-11-22,New Zealand,1,
2347110,TDU24754G,Accounts - Reconciliation,2024-09-23 20:52:09,2024-11-22,New Zealand,1,
2347112,TDU24755G,Accounts - Reconciliation,2024-09-24 13:44:01,2024-12-15,Australia,1,
2347114,TDU24756G,Accounts - Reconciliation,2024-09-24 16:36:49,2024-10-21,Australia,1,
2347116,TDU24757G,Accounts - Reconciliation,2024-09-24 17:11:39,2024-11-09,Australia,25,
2347118,TDU24758G,Accounts - Reconciliation,2024-09-24 18:18:11,2024-11-23,Australia,23,
2347122,TDU24760G,Accounts - Reconciliation,2024-09-25 08:31:31,2024-12-08,Australia,37,
2347123,TDU24761G,Accounts - Reconciliation,2024-09-25 13:15:07,2024-11-16,Australia,1,
2347125,TDU24762G,Accounts - Reconciliation,2024-09-25 14:57:23,2024-12-08,Australia,1,
2347126,TDU24763G,Accounts - Reconciliation,2024-09-25 14:59:48,2024-11-24,New Zealand,1,
2347128,TDU24764G,Accounts - Reconciliation,2024-09-25 15:58:15,2024-10-13,Australia,1,
2347130,TDU24765G,Accounts - Reconciliation,2024-09-25 16:34:25,2024-11-06,Australia,43,
