date,team_calls,all_calls,queue_rows
2026-06-01,20,21,0
2026-06-02,18,18,0
2026-06-03,2,12,0
2026-06-04,3,7,0
2026-06-05,5,6,0
2026-06-06,0,1,0
2026-06-07,0,0,0
2026-06-08,11,14,0
2026-06-09,6,9,0
2026-06-10,23,24,0
2026-06-11,20,21,0
2026-06-12,4,5,0
2026-06-13,16,16,0
2026-06-14,2,2,0
2026-06-15,39,43,0
2026-06-16,35,35,0
2026-06-17,30,34,0
2026-06-18,8,9,0
2026-06-19,10,10,0
2026-06-20,0,2,0
2026-06-21,0,0,0
2026-06-22,9,12,0
2026-06-23,30,31,0
2026-06-24,7,8,0
2026-06-25,5,5,152
2026-06-26,40,43,263
2026-06-27,0,1,302
2026-06-28,0,0,0
2026-06-29,101,107,376
2026-06-30,98,99,341
2026-07-01,91,92,316
2026-07-02,128,128,278
2026-07-03,86,87,225
2026-07-04,52,61,167
2026-07-05,0,0,0
2026-07-06,84,85,191
2026-07-07,119,120,184
2026-07-08,52,57,109
2026-07-09,79,81,144
2026-07-10,14,15,93
2026-07-11,25,26,105
2026-07-12,0,0,0
2026-07-13,51,52,129
2026-07-14,67,70,107
2026-07-15,40,40,75
2026-07-16,56,56,80
2026-07-17,31,32,67
2026-07-18,30,30,74
2026-07-19,0,0,0
2026-07-20,27,28,93
2026-07-21,29,33,117
2026-07-22,44,72,126
2026-07-23,49,49,137
2026-07-24,21,22,128
2026-07-25,13,13,119
2026-07-26,0,0,0
2026-07-27,26,26,149
2026-07-28,39,39,170
2026-07-29,37,38,157
2026-07-30,38,39,147
2026-07-31,24,24,145
2026-08-01,14,14,154
2026-08-02,0,0,0
2026-08-03,55,56,182
2026-08-04,44,46,161
2026-08-05,48,50,173
2026-08-06,49,49,166
2026-08-07,32,33,172
2026-08-08,17,17,178
2026-08-09,0,0,0
2026-08-10,42,44,209
2026-08-11,50,51,234
2026-08-12,34,35,221
2026-08-13,24,29,223
2026-08-14,34,35,259
2026-08-15,0,0,250
2026-08-16,0,0,0
2026-08-17,66,66,279
2026-08-18,43,43,230
2026-08-19,9,11,238
2026-08-20,1,2,283
2026-08-21,0,0,302
2026-08-22,0,0,321
2026-08-23,0,0,0
2026-08-24,0,0,341
2026-08-25,0,0,364
2026-08-26,0,0,382
2026-08-27,0,2,402
2026-08-28,1,1,419
2026-08-29,0,0,0
2026-08-30,0,0,0
2026-08-31,0,3,413
2026-09-01,0,4,0
2026-09-02,0,14,0
2026-09-03,0,0,0
2026-09-04,0,7,0
2026-09-05,0,0,0
2026-09-06,0,0,0
2026-09-07,0,0,0
2026-09-08,0,0,0
2026-09-09,0,0,0
2026-09-10,0,0,0
