auto_id,quoteid,created_at,stage
2,2347186,2024-10-02 10:07:04,Create Project
5,2347190,2024-10-02 13:04:20,Accepted - Groups
18,2347192,2024-10-02 16:40:56,Accepted - Groups
26,2347195,2024-10-03 15:27:04,Create Project
69,2347181,2024-10-07 11:09:07,Accepted - Groups
73,2347205,2024-10-04 16:17:27,Create Project
74,2347206,2024-10-04 17:22:41,Create Project
78,2347209,2024-10-04 12:04:51,Create Project
79,2347210,2024-10-04 12:04:51,Create Project
80,2347211,2024-10-04 12:04:51,Create Project
81,2347212,2024-10-02 13:26:09,Accepted - Groups
82,2347212,2024-10-08 18:30:13,Accepted - Partial Land Booking Done
87,2347216,2024-10-09 13:39:52,Create Project
91,2347219,2024-10-09 16:50:33,Accepted - Groups
92,2347220,2024-10-09 16:50:33,Accepted - Groups
116,2347221,2024-10-10 20:59:29,Create Project
118,2347223,2024-10-10 23:17:06,Create Project
123,2347225,2024-10-11 10:18:23,Create Project
128,2347227,2024-10-11 17:53:15,Accepted - Groups
129,2347228,2024-10-11 17:53:15,Accepted - Groups
133,2347230,2024-10-11 21:28:19,Create Project
134,2347231,2024-10-11 21:28:19,Create Project
137,2347234,2024-10-11 23:13:56,Create Project
138,2347235,2024-10-11 22:56:43,Create Project
139,2347236,2024-10-11 14:38:21,Create Project
140,2347237,2024-10-11 14:38:21,Create Project
141,2347238,2024-10-11 14:38:21,Create Project
142,2347239,2024-10-11 14:38:21,Create Project
171,2347241,2024-10-15 11:18:20,Create Project
174,2347243,2024-10-15 13:40:13,Create Project
178,2347247,2024-10-15 11:18:20,Create Project
179,2347248,2024-10-15 17:01:09,Create Project
189,2347254,2024-10-15 21:13:10,Accepted - Groups
190,2347255,2024-10-15 20:47:03,Create Project
192,2347257,2024-10-13 21:14:05,Accepted - Groups
193,2347258,2024-10-15 21:53:55,Create Project
199,2347259,2024-10-15 11:18:20,Create Project
201,2347261,2024-10-16 17:01:40,Create Project
203,2347263,2024-10-16 17:23:11,Create Project
211,2347266,2024-10-16 20:00:10,Create Project
213,2347268,2024-10-16 22:38:13,Create Project
216,2347271,2024-10-17 00:00:27,Create Project
224,2347274,2024-10-17 11:48:10,Create Project
226,2347276,2024-10-09 16:50:33,Accepted - Groups
227,2347277,2024-10-17 12:39:33,Create Project
231,2347281,2024-10-15 12:40:55,Accepted - Groups
232,2347282,2024-10-13 20:56:19,Accepted - Groups
234,2347284,2024-10-15 17:01:09,Create Project
237,2347286,2024-10-17 16:50:47,Create Project
239,2347288,2024-10-17 17:58:54,Create Project
241,2347290,2024-10-15 17:01:09,Create Project
245,2347294,2024-10-18 04:52:11,Create Project
254,2347298,2024-10-18 19:34:24,Create Project
255,2347299,2024-10-18 05:28:11,Create Project
260,2347302,2024-10-11 00:18:09,Accepted - Groups
261,2347303,2024-10-11 00:18:09,Accepted - Groups
263,2347305,2024-10-21 20:11:55,Create Project
268,2347308,2024-10-22 04:59:29,Create Project
278,2347317,2024-10-22 20:51:20,Create Project
280,2347318,2024-10-22 20:30:39,Create Project
284,2347322,2024-10-23 11:08:55,Create Project
288,2347326,2024-10-22 21:29:56,Create Project
289,2347327,2024-10-23 13:24:10,Create Project
296,2347332,2024-10-23 16:11:00,Create Project
312,2347339,2024-10-22 04:46:52,Requote
321,2347345,2024-10-23 19:00:06,Create Project
322,2347346,2024-10-23 21:33:31,Create Project
328,2347350,2024-10-24 18:33:17,Create Project
334,2347353,2024-10-24 22:37:50,Accepted - Groups
336,2347355,2024-10-24 21:09:42,Create Project
338,2347357,2024-10-25 12:45:56,Create Project
340,2347359,2024-10-25 13:54:07,Create Project
346,2347363,2024-10-23 11:08:55,Create Project
348,2347365,2024-10-25 17:35:47,Create Project
351,2347368,2024-10-25 19:09:18,Create Project
352,2347369,2024-10-25 18:39:08,Create Project
354,2347371,2024-10-25 21:52:36,Create Project
356,2347373,2024-10-25 23:13:42,Create Project
358,2347375,2024-10-26 15:41:44,Create Project
360,2347377,2024-10-26 17:24:44,Create Project
363,2347380,2024-10-26 17:52:35,Create Project
369,2347385,2024-10-28 17:51:19,Created
372,2347388,2024-10-28 20:36:02,Created
374,2347390,2024-10-28 20:07:56,Created
377,2347393,2024-10-29 19:31:59,Created
379,2347395,2024-10-29 22:56:34,Created
380,2347396,2024-10-29 22:56:34,Created
385,2347398,2024-10-30 16:57:33,Created
387,2347400,2024-10-30 17:55:09,Created
388,2347401,2024-10-29 22:56:34,Created
402,2347405,2024-11-02 16:08:01,Created
410,2347408,2024-11-05 14:03:08,Created
412,2347410,2024-11-05 15:15:29,Created
414,2347412,2024-10-28 23:24:23,Created
415,2347413,2024-11-05 15:56:51,Created
416,2347414,2024-10-23 11:08:55,Create Project
419,2347416,2024-11-05 22:10:16,Created
423,2347419,2024-11-06 16:13:16,Created
425,2347421,2024-11-06 22:30:04,Created
431,2347426,2024-11-07 16:27:41,Created
433,2347428,2024-11-07 17:00:15,Created
437,2347431,2024-11-07 18:36:24,Created
440,2347433,2024-11-07 22:04:45,Created
445,2347435,2024-11-07 23:26:29,Created
450,2347438,2024-11-08 14:50:24,Created
452,2347440,2024-11-08 20:05:59,Created
456,2347443,2024-11-08 23:07:02,Created
457,2347444,2024-11-09 00:59:47,Created
458,2347445,2024-11-08 23:07:02,Created
462,2347448,2024-11-09 13:52:22,Created
475,2347458,2024-11-09 13:52:22,Created
