date,user,carryover
2026-08-05,ArunP,22
2026-08-05,HarshP,5
2026-08-05,hemant,16
2026-08-05,karthik,77
2026-08-06,ArunP,20
2026-08-06,HarshP,5
2026-08-06,hemant,1
2026-08-06,karthik,84
2026-08-07,ArunP,19
2026-08-07,HarshP,1
2026-08-07,karthik,95
2026-08-08,ArunP,31
2026-08-08,HarshP,6
2026-08-08,hemant,1
2026-08-08,karthik,96
2026-08-10,ArunP,38
2026-08-10,HarshP,11
2026-08-10,hemant,9
2026-08-10,karthik,98
2026-08-11,ArunP,46
2026-08-11,HarshP,11
2026-08-11,hemant,4
2026-08-11,karthik,100
2026-08-12,ArunP,41
2026-08-12,HarshP,10
2026-08-12,hemant,5
2026-08-12,karthik,96
2026-08-13,ArunP,38
2026-08-13,HarshP,8
2026-08-13,hemant,10
2026-08-13,karthik,90
2026-08-14,ArunP,33
2026-08-14,HarshP,16
2026-08-14,hemant,24
2026-08-14,karthik,91
2026-08-15,ArunP,32
2026-08-15,HarshP,28
2026-08-15,hemant,26
2026-08-15,karthik,92
2026-08-17,ArunP,34
2026-08-17,HarshP,35
2026-08-17,hemant,52
2026-08-17,karthik,93
2026-08-18,ArunP,36
2026-08-18,HarshP,17
2026-08-18,hemant,2
2026-08-18,karthik,91
