date,user,reached,not_reached
2026-08-05,ArunP,8,0
2026-08-05,HarshP,12,4
2026-08-05,hemant,21,3
2026-08-06,ArunP,8,0
2026-08-06,HarshP,11,6
2026-08-06,hemant,17,3
2026-08-07,ArunP,6,0
2026-08-07,HarshP,6,0
2026-08-07,hemant,12,4
2026-08-08,HarshP,7,1
2026-08-08,hemant,8,1
2026-08-10,ArunP,4,0
2026-08-10,HarshP,14,4
2026-08-10,hemant,14,5
2026-08-11,ArunP,20,0
2026-08-11,HarshP,6,5
2026-08-11,hemant,7,6
2026-08-12,ArunP,10,0
2026-08-12,HarshP,8,2
2026-08-12,hemant,3,2
2026-08-13,ArunP,17,0
2026-08-13,HarshP,6,1
2026-08-14,ArunP,13,0
2026-08-14,HarshP,4,3
2026-08-14,hemant,4,7
2026-08-17,ArunP,7,0
2026-08-17,HarshP,18,2
2026-08-17,hemant,21,13
2026-08-18,ArunP,16,0
2026-08-18,HarshP,8,4
2026-08-18,hemant,8,3
