date,user,bucket,n
2026-08-05,ArunP,carryover,22
2026-08-05,ArunP,sp1,5
2026-08-05,ArunP,sp2,1
2026-08-05,ArunP,sp3,1
2026-08-05,HarshP,carryover,5
2026-08-05,HarshP,sp1,10
2026-08-05,HarshP,sp2,9
2026-08-05,hemant,carryover,16
2026-08-05,hemant,sp1,10
2026-08-05,hemant,sp2,10
2026-08-05,karthik,carryover,77
2026-08-05,karthik,sp1,5
2026-08-05,karthik,sp2,2
2026-08-06,ArunP,carryover,20
2026-08-06,ArunP,sp1,6
2026-08-06,HarshP,carryover,5
2026-08-06,HarshP,sp1,11
2026-08-06,HarshP,sp2,1
2026-08-06,HarshP,sp3,1
2026-08-06,hemant,carryover,1
2026-08-06,hemant,sp1,10
2026-08-06,hemant,sp2,14
2026-08-06,hemant,sp4,1
2026-08-06,karthik,carryover,84
2026-08-06,karthik,sp1,8
2026-08-06,karthik,sp2,4
2026-08-07,ArunP,carryover,19
2026-08-07,ArunP,sp1,3
2026-08-07,ArunP,sp2,8
2026-08-07,ArunP,sp3,1
2026-08-07,ArunP,sp4,3
2026-08-07,HarshP,carryover,1
2026-08-07,HarshP,sp1,11
2026-08-07,HarshP,sp2,5
2026-08-07,hemant,sp1,10
2026-08-07,hemant,sp2,12
2026-08-07,karthik,carryover,95
2026-08-07,karthik,sp1,4
2026-08-08,ArunP,carryover,31
2026-08-08,ArunP,sp2,7
2026-08-08,ArunP,sp3,1
2026-08-08,HarshP,carryover,6
2026-08-08,HarshP,sp1,10
2026-08-08,HarshP,sp2,8
2026-08-08,hemant,carryover,1
2026-08-08,hemant,sp1,10
2026-08-08,hemant,sp2,7
2026-08-08,karthik,carryover,96
2026-08-08,karthik,sp2,1
2026-08-10,ArunP,carryover,38
2026-08-10,ArunP,sp1,5
2026-08-10,ArunP,sp2,4
2026-08-10,HarshP,carryover,11
2026-08-10,HarshP,sp1,12
2026-08-10,HarshP,sp2,11
2026-08-10,hemant,carryover,9
2026-08-10,hemant,sp1,10
2026-08-10,hemant,sp2,7
2026-08-10,karthik,carryover,98
2026-08-10,karthik,sp1,4
2026-08-11,ArunP,carryover,46
2026-08-11,ArunP,sp1,4
2026-08-11,ArunP,sp2,3
2026-08-11,ArunP,sp3,1
2026-08-11,HarshP,carryover,11
2026-08-11,HarshP,sp1,10
2026-08-11,HarshP,sp2,5
2026-08-11,hemant,carryover,4
2026-08-11,hemant,sp1,10
2026-08-11,hemant,sp2,6
2026-08-11,hemant,sp3,1
2026-08-11,karthik,carryover,100
2026-08-11,karthik,sp1,3
2026-08-12,ArunP,carryover,41
2026-08-12,ArunP,sp1,4
2026-08-12,ArunP,sp2,1
2026-08-12,ArunP,sp3,3
2026-08-12,HarshP,carryover,10
2026-08-12,HarshP,sp1,10
2026-08-12,HarshP,sp2,5
2026-08-12,hemant,carryover,5
2026-08-12,hemant,sp1,10
2026-08-12,hemant,sp2,4
2026-08-12,karthik,carryover,96
2026-08-13,ArunP,carryover,38
2026-08-13,ArunP,sp1,4
2026-08-13,ArunP,sp2,3
2026-08-13,ArunP,sp3,2
2026-08-13,HarshP,carryover,8
2026-08-13,HarshP,sp1,10
2026-08-13,HarshP,sp2,8
2026-08-13,hemant,carryover,10
2026-08-13,hemant,sp1,10
2026-08-13,hemant,sp2,4
2026-08-13,karthik,carryover,90
2026-08-13,karthik,sp1,3
2026-08-14,ArunP,carryover,33
2026-08-14,ArunP,sp1,3
2026-08-14,ArunP,sp2,2
2026-08-14,ArunP,sp4,1
2026-08-14,HarshP,carryover,16
2026-08-14,HarshP,sp1,11
2026-08-14,HarshP,sp2,15
2026-08-14,hemant,carryover,24
2026-08-14,hemant,sp1,10
2026-08-14,hemant,sp2,11
2026-08-14,hemant,sp3,2
2026-08-14,karthik,carryover,91
2026-08-14,karthik,sp1,4
2026-08-15,ArunP,carryover,32
2026-08-15,ArunP,sp2,2
2026-08-15,HarshP,carryover,28
2026-08-15,HarshP,sp1,10
2026-08-15,HarshP,sp2,4
2026-08-15,hemant,carryover,26
2026-08-15,hemant,sp1,10
2026-08-15,hemant,sp2,10
2026-08-15,karthik,carryover,92
2026-08-15,karthik,sp3,1
2026-08-17,ArunP,carryover,34
2026-08-17,ArunP,sp1,7
2026-08-17,HarshP,carryover,35
2026-08-17,HarshP,sp1,11
2026-08-17,hemant,carryover,52
2026-08-17,hemant,sp1,10
2026-08-17,karthik,carryover,93
2026-08-18,ArunP,carryover,36
2026-08-18,ArunP,sp1,10
2026-08-18,ArunP,sp2,4
2026-08-18,HarshP,carryover,17
2026-08-18,HarshP,sp1,9
2026-08-18,HarshP,sp2,5
2026-08-18,hemant,carryover,2
2026-08-18,hemant,sp1,10
2026-08-18,hemant,sp2,9
2026-08-18,karthik,carryover,91
