no_pax,rows
NULL,3398
2,1797
4,774
3,645
0,359
6,301
20,278
5,243
8,198
10,191
30,161
15,157
7,121
12,115
25,104
40,101
1,101
16,94
9,60
14,58
11,51
13,49
18,44
60,39
35,38
24,35
50,35
45,29
17,25
22,20
32,19
19,17
26,17
100,16
36,15
44,14
70,14
80,13
34,12
29,11
21,11
150,10
23,10
65,10
38,9
28,8
27,8
72,7
59,7
54,6
55,6
200,6
31,6
90,6
49,5
33,5
300,5
42,4
120,4
75,4
37,3
76,3
39,3
46,3
56,3
255,2
85,2
43,2
187,2
230,2
41,2
48,2
64,2
250,2
58,2
700,2
69,2
110,2
301,1
280,1
130,1
180,1
73,1
166,1
155,1
67,1
125,1
87,1
107,1
78,1
600,1
47,1
83,1
1010,1
165,1
51,1
182,1
525,1
102,1
117,1
229,1
135,1
240,1
160,1
