trip_month,quotes
2024-05,7
2024-06,19
2024-07,12
2024-08,21
2024-09,54
2024-10,74
2024-11,77
2024-12,56
2025-01,155
2025-02,299
2025-03,333
2025-04,381
2025-05,597
2025-06,354
2025-07,229
2025-08,272
2025-09,393
2025-10,556
2025-11,536
2025-12,835
2026-01,441
2026-02,370
2026-03,538
2026-04,448
2026-05,639
2026-06,370
2026-07,232
2026-08,236
2026-09,282
2026-10,273
2026-11,356
2026-12,221
2027-01,46
2027-02,58
2027-03,37
2027-04,20
2027-05,14
2027-06,4
2027-07,1
2027-09,1
2027-10,1
2028-01,1
